slug,name,type_category,country,region,description,tasting_notes,cask_type,url,source_api_endpoint,source_confidence
abv,ABV,Legal & Classification,,,"Alcohol By Volume, the standard international measure of alcohol content expressed as a percentage. Most whiskey is bottled between 40% and 46% ABV, though cask strength releases can exceed 60% ABV.",,,,/glossary/,high
age-statement,Age Statement,Scotch Whisky,,,"The number on a whisky bottle indicating the youngest spirit in the blend, expressed in years. By law, the age statement must reflect the youngest component. NAS (No Age Statement) whiskies omit this number entirely.",,,,/glossary/,high
angels-share,Angel's Share,Maturation & Casks,,,"The portion of whiskey that evaporates from the cask during maturation, typically 1-2% per year in Scotland and up to 4-5% in warmer climates like Kentucky. Over decades of aging, a significant volume is lost to evaporation.",,,,/glossary/,high
auction-record,Auction Record,Collecting & Investment,,,"The highest price achieved for a bottle of whiskey at public auction. Rare Scotch whiskies, particularly from closed distilleries, dominate record prices, with some bottles selling for millions of dollars.",,,,/glossary/,high
blended-malt,Blended Malt,Irish & Japanese,,,"A whisky created by blending single malts from two or more distilleries, without adding grain whisky. In Japan, this practice is less common because most distilleries are owned by the same company and rarely trade casks.",,,,/glossary/,high
blended-scotch,Blended Scotch,Scotch Whisky,,,A whisky created by combining single malt whiskies from multiple distilleries with grain whisky for consistency and balance. Blended Scotch accounts for over 90% of all Scotch whisky sold worldwide.,,,,/glossary/,high
blended-whiskey-us,Blended Whiskey (US),Legal & Classification,,,"In the United States, a blend of at least 20% straight whiskey with neutral grain spirits or other whiskey. Not to be confused with blended Scotch, which combines malt and grain whiskies but does not include neutral spirits.",,,,/glossary/,high
bonded-warehouse-irish,Bonded Warehouse (Irish),Irish & Japanese,,,A government-supervised warehouse where Irish whiskey must age for at least three years in wooden casks on the island of Ireland. The bonded status ensures tax is paid only when the whiskey leaves for bottling.,,,,/glossary/,high
bottle-condition,Bottle Condition,Collecting & Investment,,,"The physical state of a collectible whiskey bottle, including fill level, label integrity, capsule condition, and overall presentation. Condition significantly affects secondary market value, with pristine bottles commanding substantial premiums.",,,,/glossary/,high
bottled-in-bond,Bottled in Bond,American Whiskey,,,"A designation under the Bottled-in-Bond Act of 1897 requiring whiskey to be the product of one distiller, one distillery, one distilling season, aged at least four years in a federally bonded warehouse, and bottled at exactly 100 proof (50% ABV).",,,,/glossary/,high
bourbon,Bourbon,American Whiskey,,,"An American whiskey made from a mash bill of at least 51% corn, distilled to no more than 160 proof, entered into new charred oak barrels at no more than 125 proof, and bottled at minimum 80 proof. Despite popular belief, bourbon can be made anywhere in the United States.",,,,/glossary/,high
bourbon-trail,Bourbon Trail,Culture & History,,,"The Kentucky Bourbon Trail, a tourism program featuring guided tours of major bourbon distilleries across Kentucky. Established in 1999, it now includes over 40 distilleries and attracts over 2 million visitors annually.",,,,/glossary/,high
cask-finish,Cask Finish,Maturation & Casks,,,"The practice of transferring mature whiskey to a different type of cask for a secondary period of aging. Common finishes include sherry, port, rum, wine, and Madeira casks, each adding new flavor dimensions.",,,,/glossary/,high
