gsd_candidate_id,canonical_name,display_name,distillery,country,region,type,approx_abv,age_statement_years,nas,peated_level,cask_type_primary,era,bottling_type,priority_tier,benchmark_split_target,certification_tier_target,stratum_style,iconic_reason
GSD-CAND-0001,Lagavulin 16yo,Lagavulin 16 Year Old,Lagavulin,Scotland,Islay,Malt,43.0,16,FALSE,heavy,Bourbon+Sherry,current,official,1,test,Gold,Single Malt,Universally recognised Islay benchmark; defines peated-sherry profile axis worldwide
GSD-CAND-0002,Ardbeg 10yo,Ardbeg Ten,Ardbeg,Scotland,Islay,Malt,46.0,10,FALSE,heavy,Bourbon,current,official,1,test,Gold,Single Malt,Standard-bearer for heavily peated Islay malt; smoky and peaty axes reference point
GSD-CAND-0003,Laphroaig 10yo,Laphroaig 10 Year Old,Laphroaig,Scotland,Islay,Malt,40.0,10,FALSE,heavy,Bourbon,current,official,1,validation,Gold,Single Malt,Medicinal peat archetype; most recognisable Islay expression globally
GSD-CAND-0004,Glenfarclas 12yo,Glenfarclas 12 Year Old,Glenfarclas,Scotland,Speyside,Malt,43.0,12,FALSE,none,Sherry,current,official,1,train,Gold,Single Malt,Independent family-owned distillery; sherry-dominant Speyside reference
GSD-CAND-0005,Glenfiddich 12yo,Glenfiddich 12 Year Old,Glenfiddich,Scotland,Speyside,Malt,40.0,12,FALSE,none,Bourbon+Sherry,current,official,1,train,Gold,Single Malt,World's best-selling single malt; essential entry-level Speyside benchmark
GSD-CAND-0006,Macallan 12yo Double Cask,Macallan 12 Year Old Double Cask,Macallan,Scotland,Speyside,Malt,40.0,12,FALSE,none,Sherry+Bourbon,current,official,1,train,Gold,Single Malt,Flagship Macallan expression; tests sherry-cask identification at 12yo
GSD-CAND-0007,Macallan 18yo Sherry Oak,Macallan 18 Year Old Sherry Oak,Macallan,Scotland,Speyside,Malt,43.0,18,FALSE,none,Sherry,current,official,1,validation,Gold,Single Malt,Definitive full-sherry Speyside profile; luxury tier benchmark
GSD-CAND-0008,Balvenie DoubleWood 12yo,Balvenie DoubleWood 12 Year Old,Balvenie,Scotland,Speyside,Malt,40.0,12,FALSE,none,Bourbon+Sherry,current,official,1,train,Gold,Single Malt,Pioneered double-cask category; tests two-cask extraction accuracy
GSD-CAND-0009,Glenfarclas 21yo,Glenfarclas 21 Year Old,Glenfarclas,Scotland,Speyside,Malt,43.0,21,FALSE,none,Sherry,current,official,1,train,Gold,Single Malt,Older expression from same distillery; tests consistent cross-age extraction
GSD-CAND-0010,Aberlour A'bunadh,Aberlour A'bunadh Batch,Aberlour,Scotland,Speyside,Malt,61.2,0,TRUE,none,Sherry,current,official,1,train,Silver,Single Malt,NAS cask-strength sherry bomb; tests NAS + high ABV + batch variation handling
GSD-CAND-0011,Glenfarclas 105,Glenfarclas 105 Cask Strength,Glenfarclas,Scotland,Speyside,Malt,60.0,0,TRUE,none,Sherry,current,official,2,validation,Silver,Single Malt,NAS cask-strength reference; same distillery as 0004/0009 — cross-entry consistency check
GSD-CAND-0012,Glenfiddich 18yo,Glenfiddich 18 Year Old,Glenfiddich,Scotland,Speyside,Malt,40.0,18,FALSE,none,Sherry+Bourbon,current,official,1,train,Gold,Single Malt,Older Glenfiddich; tests consistent extraction across age tiers from same distillery
GSD-CAND-0013,BenRiach The Curiositas 10yo,BenRiach The Curiositas 10 Year Old,BenRiach,Scotland,Speyside,Malt,46.0,10,FALSE,heavy,Bourbon,current,official,2,validation,Silver,Single Malt,Rare peated Speyside; tests peated character in a typically unpeated region
GSD-CAND-0014,GlenAllachie 12yo,GlenAllachie 12 Year Old,GlenAllachie,Scotland,Speyside,Malt,46.0,12,FALSE,none,Sherry,current,official,2,train,Silver,Single Malt,High-regard emerging distillery; sherry-focused modern Speyside reference
GSD-CAND-0015,Cragganmore 12yo,Cragganmore 12 Year Old,Cragganmore,Scotland,Speyside,Malt,40.0,12,FALSE,none,Bourbon,current,official,2,train,Silver,Single Malt,Classic Diageo Speyside; dry and complex style distinct from sherry-led peers
GSD-CAND-0016,Balvenie Caribbean Cask 14yo,Balvenie Caribbean Cask 14 Year Old,Balvenie,Scotland,Speyside,Malt,43.0,14,FALSE,none,Rum Finish,current,official,2,validation,Silver,Single Malt,Tests rum-finish cask type identification; same distillery as 0008 for consistency
GSD-CAND-0017,Ardbeg Uigeadail,Ardbeg Uigeadail,Ardbeg,Scotland,Islay,Malt,54.2,0,TRUE,heavy,Sherry+Bourbon,current,official,1,test,Gold,Single Malt,NAS cask-strength peated sherry; tests high ABV + peated + sherry simultaneous
GSD-CAND-0018,Laphroaig Quarter Cask,Laphroaig Quarter Cask,Laphroaig,Scotland,Islay,Malt,48.0,0,TRUE,heavy,Bourbon (Quarter),current,official,2,validation,Silver,Single Malt,Quarter-cask NAS; tests small-cask terminology extraction
GSD-CAND-0019,Caol Ila 12yo,Caol Ila 12 Year Old,Caol Ila,Scotland,Islay,Malt,43.0,12,FALSE,heavy,Bourbon,current,official,1,train,Gold,Single Malt,High-volume Islay malt; cleaner smoke profile tests fine-grained peated axis
GSD-CAND-0020,Kilchoman Machir Bay,Kilchoman Machir Bay,Kilchoman,Scotland,Islay,Malt,46.0,0,TRUE,heavy,Bourbon+Sherry,current,official,2,train,Silver,Single Malt,Farm distillery NAS; youngest Islay distillery; tests NAS peated expression
GSD-CAND-0021,Bruichladdich Classic Laddie,Bruichladdich The Classic Laddie,Bruichladdich,Scotland,Islay,Malt,50.0,0,TRUE,none,Bourbon,current,official,2,train,Silver,Single Malt,Unpeated Islay NAS; tests unpeated Islay (minority profile) extraction
GSD-CAND-0022,Bowmore 12yo,Bowmore 12 Year Old,Bowmore,Scotland,Islay,Malt,40.0,12,FALSE,medium,Bourbon+Sherry,current,official,2,train,Silver,Single Malt,Medium-peated Islay; floral-smoky profile tests intermediate peat level
GSD-CAND-0023,Glenmorangie Original 10yo,Glenmorangie The Original 10 Year Old,Glenmorangie,Scotland,Highland,Malt,40.0,10,FALSE,none,Bourbon,current,official,1,train,Gold,Single Malt,Best-selling Highland malt; tall-still floral style; essential reference
GSD-CAND-0024,GlenDronach 12yo,GlenDronach 12 Year Old,GlenDronach,Scotland,Highland,Malt,43.0,12,FALSE,none,Sherry,current,official,2,train,Silver,Single Malt,Benchmark sherried Highland; all-sherry cask maturation distinctly different from Speyside
GSD-CAND-0025,Glenmorangie Lasanta 12yo,Glenmorangie Lasanta 12 Year Old,Glenmorangie,Scotland,Highland,Malt,46.0,12,FALSE,none,Sherry Finish,current,official,2,train,Silver,Single Malt,Sherry-finished Glenmorangie; same distillery as 0023 — tests finish-cask extraction
GSD-CAND-0026,Dalmore 12yo,Dalmore 12 Year Old,Dalmore,Scotland,Highland,Malt,40.0,12,FALSE,none,Sherry,current,official,2,train,Silver,Single Malt,Rich chocolate-orange Highland; tests distinctive sherry profile outside Speyside
GSD-CAND-0027,Oban 14yo,Oban 14 Year Old,Oban,Scotland,Highland,Malt,43.0,14,FALSE,light,Bourbon,current,official,1,validation,Silver,Single Malt,Coastal Highland malt; slight maritime and smoky character; small-production distillery
GSD-CAND-0028,Clynelish 14yo,Clynelish 14 Year Old,Clynelish,Scotland,Highland,Malt,46.0,14,FALSE,none,Bourbon,current,official,2,train,Silver,Single Malt,Waxy coastal Highland; distinctive texture note rare in official vocabulary
GSD-CAND-0029,Balblair 12yo,Balblair 12 Year Old,Balblair,Scotland,Highland,Malt,46.0,12,FALSE,none,Bourbon+Sherry,current,official,2,train,Silver,Single Malt,Fruit-led Highland; tests fruity axis expression in a bourbon+sherry profile
GSD-CAND-0030,Talisker 10yo,Talisker 10 Year Old,Talisker,Scotland,Islands,Malt,45.8,10,FALSE,medium,Bourbon,current,official,1,test,Gold,Single Malt,Definitive Island malt; pepper-smoke signature; maritime + spicy axis reference
GSD-CAND-0031,Highland Park 12yo Viking Honour,Highland Park 12 Year Old Viking Honour,Highland Park,Scotland,Islands,Malt,40.0,12,FALSE,light,Sherry+Bourbon,current,official,1,train,Gold,Single Malt,Orkney malt; light peat + sherry combination; tests dual-character axis balance
GSD-CAND-0032,Arran 10yo,Arran 10 Year Old,Arran,Scotland,Islands,Malt,46.0,10,FALSE,none,Bourbon,current,official,2,train,Silver,Single Malt,Island malt without peat; tests unpeated Island profile extraction
GSD-CAND-0033,Jura 10yo Journey,Jura Journey,Jura,Scotland,Islands,Malt,40.0,10,FALSE,none,Bourbon,current,official,2,train,Silver,Single Malt,Lightly sweet Island malt; broad consumer exposure tests common-name extraction
GSD-CAND-0034,Ledaig 10yo,Ledaig 10 Year Old,Ledaig,Scotland,Islands,Malt,46.3,10,FALSE,heavy,Bourbon,current,official,2,validation,Silver,Single Malt,Heavily peated Mull expression; sister distillery (Tobermory) tests dual-brand scenario
GSD-CAND-0035,Auchentoshan Three Wood,Auchentoshan Three Wood,Auchentoshan,Scotland,Lowland,Malt,43.0,0,TRUE,none,Bourbon+Sherry+Pedro Ximenez,current,official,2,train,Silver,Single Malt,Triple-cask NAS Lowland; tests three-cask description and PX extraction
GSD-CAND-0036,Glenkinchie 12yo,Glenkinchie 12 Year Old,Glenkinchie,Scotland,Lowland,Malt,43.0,12,FALSE,none,Bourbon,current,official,2,train,Silver,Single Malt,Diageo Lowland standard; light floral style; regional contrast to Highland peers
GSD-CAND-0037,Ailsa Bay,Ailsa Bay Sweet Smoke,Ailsa Bay,Scotland,Lowland,Malt,48.9,0,TRUE,light,Bourbon,current,official,2,train,Silver,Single Malt,Modern Lowland peated NAS; tests peat in an atypically non-peated region
GSD-CAND-0038,Springbank 10yo,Springbank 10 Year Old,Springbank,Scotland,Campbeltown,Malt,46.0,10,FALSE,light,Bourbon+Sherry,current,official,1,test,Gold,Single Malt,Last traditional family distillery; Campbeltown benchmark; lightly peated
GSD-CAND-0039,Springbank 15yo,Springbank 15 Year Old,Springbank,Scotland,Campbeltown,Malt,46.0,15,FALSE,light,Sherry+Bourbon,current,official,1,validation,Gold,Single Malt,Older Springbank; sherry-forward; same distillery as 0038 — cross-age consistency
GSD-CAND-0040,Glen Scotia 15yo,Glen Scotia 15 Year Old,Glen Scotia,Scotland,Campbeltown,Malt,46.0,15,FALSE,none,Bourbon+Sherry,current,official,2,train,Silver,Single Malt,Second active Campbeltown distillery; coastal character; regional diversity coverage
GSD-CAND-0041,Yamazaki 12yo,Yamazaki 12 Year Old,Yamazaki,Japan,Japanese,Malt,43.0,12,FALSE,none,Mizunara+Bourbon+Sherry,current,official,1,test,Gold,Single Malt,Japan's most iconic single malt; mizunara cask extraction required
GSD-CAND-0042,Yamazaki 18yo,Yamazaki 18 Year Old,Yamazaki,Japan,Japanese,Malt,43.0,18,FALSE,none,Mizunara,limited,official,1,validation,Gold,Single Malt,Flagship aged Japanese malt; limited edition; tests aged expression extraction
GSD-CAND-0043,Hakushu 12yo,Hakushu 12 Year Old,Hakushu,Japan,Japanese,Malt,43.0,12,FALSE,light,Bourbon,current,official,1,train,Gold,Single Malt,Forested Japan style; light peat; contrasts with Yamazaki; essential Japan pair
GSD-CAND-0044,Hakushu 18yo,Hakushu 18 Year Old,Hakushu,Japan,Japanese,Malt,43.0,18,FALSE,light,Bourbon,limited,official,1,validation,Gold,Single Malt,Older Hakushu; same distillery as 0043; tests cross-age Japanese extraction
GSD-CAND-0045,Nikka From The Barrel,Nikka From the Barrel,Nikka,Japan,Japanese,Blend,51.4,0,TRUE,none,Bourbon+Sherry,current,official,1,train,Gold,Blended,Japan's best-known blended; NAS barrel-proof; tests Japanese blend vs malt
GSD-CAND-0046,Nikka Yoichi 10yo,Nikka Single Malt Yoichi 10 Year Old,Yoichi,Japan,Japanese,Malt,45.0,10,FALSE,medium,Bourbon,limited,official,1,validation,Gold,Single Malt,Coal-fired distillation; peated Japanese malt; contrasts Miyagikyo 0047
GSD-CAND-0047,Nikka Miyagikyo 10yo,Nikka Single Malt Miyagikyo 10 Year Old,Miyagikyo,Japan,Japanese,Malt,45.0,10,FALSE,none,Bourbon,limited,official,2,train,Gold,Single Malt,Unpeated sister distillery to Yoichi; tests cross-distillery pair within Nikka
GSD-CAND-0048,Nikka Coffey Grain,Nikka Coffey Grain,Nikka,Japan,Japanese,Grain,45.0,0,TRUE,none,Bourbon,current,official,2,train,Silver,Single Grain,Japanese grain whisky; Coffey still; tests type=Grain extraction in Japan context
GSD-CAND-0049,Mars Komagatake Limited 2018,Mars Komagatake Limited Edition 2018,Mars Komagatake,Japan,Japanese,Malt,59.0,0,TRUE,none,Bourbon,limited,official,2,validation,Silver,Single Malt,Craft Japanese distillery; limited vintage; tests vintage-year extraction
GSD-CAND-0050,Chichibu The Floor Malted 2022,Chichibu The Floor Malted 2022,Chichibu,Japan,Japanese,Malt,50.5,0,TRUE,none,Bourbon,limited,official,2,validation,Silver,Single Malt,Floor-malted craft Japan; high collector value; tests small-distillery extraction
GSD-CAND-0051,Akkeshi Sarorunkamuy 2023,Akkeshi Sarorunkamuy,Akkeshi,Japan,Japanese,Malt,55.0,0,TRUE,heavy,Bourbon,limited,official,2,validation,Silver,Single Malt,Heavily peated Hokkaido distillery; peated Japanese malt from third producer
GSD-CAND-0052,Kirin Fuji Single Grain,Kirin Fuji Single Grain Whisky,Fuji Gotemba,Japan,Japanese,Grain,46.0,0,TRUE,none,Bourbon,current,official,2,train,Silver,Single Grain,Japan's largest distillery producing grain; tests Japanese grain corpus coverage
GSD-CAND-0053,Nagahama Roman,Nagahama Roman Whisky,Nagahama,Japan,Japanese,Malt,47.0,0,TRUE,none,Bourbon,current,official,3,train,Bronze,Single Malt,Micro-distillery Nagahama; bronze candidate for Rest-of-Japan geographic coverage
GSD-CAND-0054,Buffalo Trace Bourbon,Buffalo Trace Kentucky Straight Bourbon,Buffalo Trace,USA,American,Bourbon,45.0,0,TRUE,none,Bourbon,current,official,1,train,Gold,Bourbon,Flagship affordable US bourbon; most widely distributed; essential baseline
GSD-CAND-0055,Eagle Rare 10yo,Eagle Rare 10 Year Old Bourbon,Buffalo Trace,USA,American,Bourbon,45.0,10,FALSE,none,Bourbon,current,official,1,train,Gold,Bourbon,Same distillery as 0054; age-stated mid-tier; cross-product consistency check
GSD-CAND-0056,Blanton's Original Single Barrel,Blanton's Original Single Barrel Bourbon,Buffalo Trace,USA,American,Bourbon,46.5,0,TRUE,none,Bourbon,current,official,1,test,Gold,Bourbon,Pioneer single-barrel Bourbon; tests single-barrel labelling extraction
GSD-CAND-0057,Pappy Van Winkle 15yo Family Reserve,Pappy Van Winkle's Family Reserve 15 Year Old,Buffalo Trace,USA,American,Bourbon,53.5,15,FALSE,none,Bourbon,limited,official,1,test,Gold,Bourbon,Most famous allocated Bourbon; tests aged limited-edition extraction
GSD-CAND-0058,George T Stagg,George T. Stagg Bourbon,Buffalo Trace,USA,American,Bourbon,64.1,0,TRUE,none,Bourbon,limited,official,1,test,Gold,Bourbon,Barrel-proof BTAC Bourbon; tests very high ABV and limited annual release
GSD-CAND-0059,Wild Turkey 101,Wild Turkey 101 Bourbon,Wild Turkey,USA,Kentucky,Bourbon,50.5,0,TRUE,none,Bourbon,current,official,2,train,Silver,Bourbon,High-rye recipe; widely available; tests standard US bourbon diversity
GSD-CAND-0060,Woodford Reserve Distiller's Select,Woodford Reserve Distiller's Select,Woodford Reserve,USA,Kentucky,Bourbon,45.2,0,TRUE,none,Bourbon,current,official,2,train,Silver,Bourbon,Triple-distilled Bourbon; unique method; tests production-method metadata
GSD-CAND-0061,Four Roses Single Barrel,Four Roses Single Barrel Bourbon,Four Roses,USA,Kentucky,Bourbon,50.0,0,TRUE,none,Bourbon,current,official,2,validation,Silver,Bourbon,Single-barrel Kentucky standard; tests single-barrel terminology in Bourbon context
GSD-CAND-0062,Maker's Mark,Maker's Mark Kentucky Straight Bourbon,Maker's Mark,USA,Kentucky,Bourbon,45.0,0,TRUE,none,Bourbon,current,official,2,train,Silver,Bourbon,Wheat recipe benchmark; red wax signature; tests wheated bourbon profile
GSD-CAND-0063,WhistlePig 10yo Rye,WhistlePig 10 Year Old Straight Rye,WhistlePig,USA,American,Rye,50.0,10,FALSE,none,Bourbon,current,official,1,validation,Gold,Rye,Flagship US Rye; benchmark for rye-heavy spicy profile extraction
GSD-CAND-0064,Rittenhouse Rye 100 Proof,Rittenhouse Straight Rye Whisky Bottled-in-Bond,Heaven Hill,USA,Kentucky,Rye,50.0,0,TRUE,none,Bourbon,current,official,2,train,Silver,Rye,High-rye NAS Rye; Bottled-in-Bond label; tests BiB classification extraction
GSD-CAND-0065,Sazerac Rye 6yo,Sazerac Straight Rye Whiskey 6 Year Old,Buffalo Trace,USA,American,Rye,45.0,6,FALSE,none,Bourbon,current,official,2,train,Silver,Rye,Youngest age-stated Rye in corpus; tests 6yo extraction vs NAS peers
GSD-CAND-0066,Jim Beam Black 8yo,Jim Beam Black 8 Year Old Extra Aged,Jim Beam,USA,Kentucky,Bourbon,43.0,8,FALSE,none,Bourbon,current,official,3,train,Bronze,Bourbon,High-volume accessible Bourbon; tests mainstream mass-market expression
GSD-CAND-0067,Redbreast 12yo,Redbreast 12 Year Old Single Pot Still,Midleton,Ireland,Dublin,Single Pot Still,40.0,12,FALSE,none,Bourbon+Sherry,current,official,1,test,Gold,Single Pot Still,Definitive Irish Single Pot Still; world reference for the style
GSD-CAND-0068,Redbreast 15yo,Redbreast 15 Year Old Single Pot Still,Midleton,Ireland,Dublin,Single Pot Still,46.0,15,FALSE,none,Bourbon+Sherry,current,official,1,train,Gold,Single Pot Still,Older SPS; same distillery as 0067; tests cross-age Irish SPS extraction
GSD-CAND-0069,Redbreast Lustau Edition,Redbreast Lustau Edition Single Pot Still,Midleton,Ireland,Dublin,Single Pot Still,46.0,0,TRUE,none,Sherry,current,official,2,train,Silver,Single Pot Still,Sherry-finish NAS SPS; tests SPS + finish + NAS combination
GSD-CAND-0070,Green Spot,Green Spot Single Pot Still,Midleton,Ireland,Dublin,Single Pot Still,40.0,0,TRUE,none,Bourbon+Sherry,current,official,2,train,Silver,Single Pot Still,Spot series entry; pot-still NAS; tests Irish Spot series as a named range
GSD-CAND-0071,Teeling Single Malt,Teeling Single Malt Irish Whiskey,Teeling,Ireland,Dublin,Malt,46.0,0,TRUE,none,Rum+Wine,current,official,2,train,Silver,Single Malt,Modern Dublin distillery; unusual cask mix; tests rum+wine multi-cask extraction
GSD-CAND-0072,Waterford Gaia Edition 1.1,Waterford Gaia Edition 1.1,Waterford,Ireland,Waterford,Malt,50.0,0,TRUE,none,Bourbon,current,official,2,validation,Silver,Single Malt,Terroir-focused Irish malt; single-farm origin; tests terroir metadata extraction
GSD-CAND-0073,Dingle Single Malt Batch 5,Dingle Single Malt Irish Whiskey Batch 5,Dingle,Ireland,Cork,Malt,46.5,0,TRUE,none,Bourbon+Sherry+Port,limited,official,3,train,Silver,Single Malt,Craft Irish distillery; triple-cask batch; tests small Irish producer extraction
GSD-CAND-0074,Bushmills 16yo,Bushmills 16 Year Old Single Malt,Bushmills,Northern Ireland,Antrim,Malt,40.0,16,FALSE,none,Bourbon+Sherry+Port,current,official,2,train,Silver,Single Malt,Northern Ireland's iconic distillery; oldest licensed distillery; three-cask finish
