whisky_id,source_system,source_type,source_url,nose,palate,finish,extracted_profile_vector,reviewer,status
W001453,web_discovery,review_site,https://www.whiskynotes.be/search/pike-creek-21yo-double-barrel-speyside-cask-finish-(2017)-tasting-notes-review,,,(2017)-tasting-notes-review | WhiskyNotes Skip to content WhiskyNotes Sincere whisky reviews since 2008 Main navigation Menu Whisky reviews Whisky news By distillery Ardbeg BenRiach Bowmore Bruichladdich Bunnahabhain Caol Ila Clynelish GlenDronach Gl...,"{""complex"": 1}",whiskynotes.be,staging_preview
W001418,web_discovery,review_site,https://www.whiskynotes.be/search/pike-creek-21yo-finished-in-oloroso-sherry-casks-(2019)-tasting-notes-review,,,ed-in-oloroso-sherry-casks-(2019)-tasting-notes-review | WhiskyNotes Skip to content WhiskyNotes Sincere whisky reviews since 2008 Main navigation Menu Whisky reviews Whisky news By distillery Ardbeg BenRiach Bowmore Bruichladdich Bunnahabhain Caol I...,"{""sherry"": 1}",whiskynotes.be,staging_preview
W000593,web_discovery,review_site,https://www.whiskynotes.be/search/glenfiddich-ipa-cask-finish-experimental-series-no.-1-tasting-notes-review,,,experimental-series-no.-1-tasting-notes-review | WhiskyNotes Skip to content WhiskyNotes Sincere whisky reviews since 2008 Main navigation Menu Whisky reviews Whisky news By distillery Ardbeg BenRiach Bowmore Bruichladdich Bunnahabhain Caol Ila Clyne...,"{""complex"": 1}",whiskynotes.be,staging_preview
W001791,web_discovery,review_site,https://www.whiskynotes.be/search/jim-beam-distillers-masterpiece-px-sherry-cask-finish-tasting-notes-review,,,tasting-notes-review | WhiskyNotes Skip to content WhiskyNotes Sincere whisky reviews since 2008 Main navigation Menu Whisky reviews Whisky news By distillery Ardbeg BenRiach Bowmore Bruichladdich Bunnahabhain Caol Ila Clynelish GlenDronach Glenfarcl...,"{""complex"": 1}",whiskynotes.be,staging_preview
W001498,web_discovery,review_site,https://www.whiskynotes.be/search/crown-royal-noble-collection-french-oak-cask-finished-tasting-notes-review,,,ed-tasting-notes-review | WhiskyNotes Skip to content WhiskyNotes Sincere whisky reviews since 2008 Main navigation Menu Whisky reviews Whisky news By distillery Ardbeg BenRiach Bowmore Bruichladdich Bunnahabhain Caol Ila Clynelish GlenDronach Glenfa...,"{""complex"": 1}",whiskynotes.be,staging_preview
W001458,web_discovery,review_site,https://www.whiskynotes.be/search/crown-royal-noble-collection-wine-barrel-finished-tasting-notes-review,,,ed-tasting-notes-review | WhiskyNotes Skip to content WhiskyNotes Sincere whisky reviews since 2008 Main navigation Menu Whisky reviews Whisky news By distillery Ardbeg BenRiach Bowmore Bruichladdich Bunnahabhain Caol Ila Clynelish GlenDronach Glenfa...,"{""complex"": 1}",whiskynotes.be,staging_preview
W000405,web_discovery,review_site,https://www.whiskynotes.be/search/lohin-mckinnon-wine-barrel-finished-(black-sage)-tasting-notes-review,,,ed-(black-sage)-tasting-notes-review | WhiskyNotes Skip to content WhiskyNotes Sincere whisky reviews since 2008 Main navigation Menu Whisky reviews Whisky news By distillery Ardbeg BenRiach Bowmore Bruichladdich Bunnahabhain Caol Ila Clynelish GlenD...,"{""complex"": 1}",whiskynotes.be,staging_preview
W000096,web_discovery,review_site,https://www.whiskynotes.be/search/benriach-17yo-solstice-2nd-peated-port-finish-tasting-notes-review,,,tasting-notes-review | WhiskyNotes Skip to content WhiskyNotes Sincere whisky reviews since 2008 Main navigation Menu Whisky reviews Whisky news By distillery Ardbeg BenRiach Bowmore Bruichladdich Bunnahabhain Caol Ila Clynelish GlenDronach Glenfarcl...,"{""complex"": 1}",whiskynotes.be,staging_preview
W000110,web_discovery,review_site,https://www.whiskynotes.be/search/benriach-17yo-solstice-1st-peated-port-finish-tasting-notes-review,,,tasting-notes-review | WhiskyNotes Skip to content WhiskyNotes Sincere whisky reviews since 2008 Main navigation Menu Whisky reviews Whisky news By distillery Ardbeg BenRiach Bowmore Bruichladdich Bunnahabhain Caol Ila Clynelish GlenDronach Glenfarcl...,"{""complex"": 1}",whiskynotes.be,staging_preview
W000697,web_discovery,review_site,https://www.whiskynotes.be/search/teeling-silver-reserve-21yo-sauternes-finish-tasting-notes-review,,,tasting-notes-review | WhiskyNotes Skip to content WhiskyNotes Sincere whisky reviews since 2008 Main navigation Menu Whisky reviews Whisky news By distillery Ardbeg BenRiach Bowmore Bruichladdich Bunnahabhain Caol Ila Clynelish GlenDronach Glenfarcl...,"{""complex"": 1}",whiskynotes.be,staging_preview
W000147,web_discovery,review_site,https://www.whiskynotes.be/search/bunnahabhain-14yo-2003-pedro-ximenez-finish-tasting-notes-review,,,tasting-notes-review | WhiskyNotes Skip to content WhiskyNotes Sincere whisky reviews since 2008 Main navigation Menu Whisky reviews Whisky news By distillery Ardbeg BenRiach Bowmore Bruichladdich Bunnahabhain Caol Ila Clynelish GlenDronach Glenfarcl...,"{""complex"": 1}",whiskynotes.be,staging_preview
W000202,web_discovery,review_site,https://www.whiskynotes.be/search/two-brewers-special-finishes-(all-releases)-tasting-notes-review,,,es-(all-releases)-tasting-notes-review | WhiskyNotes Skip to content WhiskyNotes Sincere whisky reviews since 2008 Main navigation Menu Whisky reviews Whisky news By distillery Ardbeg BenRiach Bowmore Bruichladdich Bunnahabhain Caol Ila Clynelish Gle...,"{""complex"": 1}",whiskynotes.be,staging_preview
W000242,web_discovery,review_site,https://www.whiskynotes.be/search/glencadam-14yo-oloroso-sherry-cask-finish-tasting-notes-review,,,tasting-notes-review | WhiskyNotes Skip to content WhiskyNotes Sincere whisky reviews since 2008 Main navigation Menu Whisky reviews Whisky news By distillery Ardbeg BenRiach Bowmore Bruichladdich Bunnahabhain Caol Ila Clynelish GlenDronach Glenfarcl...,"{""complex"": 1}",whiskynotes.be,staging_preview
W001461,web_discovery,review_site,https://www.whiskynotes.be/search/pike-creek-15yo-cabernet-sauvingon-finish-tasting-notes-review,,,tasting-notes-review | WhiskyNotes Skip to content WhiskyNotes Sincere whisky reviews since 2008 Main navigation Menu Whisky reviews Whisky news By distillery Ardbeg BenRiach Bowmore Bruichladdich Bunnahabhain Caol Ila Clynelish GlenDronach Glenfarcl...,"{""complex"": 1}",whiskynotes.be,staging_preview
W001269,web_discovery,review_site,https://www.whiskynotes.be/search/teeling-single-grain-(wine-cask-finish)-tasting-notes-review,,,)-tasting-notes-review | WhiskyNotes Skip to content WhiskyNotes Sincere whisky reviews since 2008 Main navigation Menu Whisky reviews Whisky news By distillery Ardbeg BenRiach Bowmore Bruichladdich Bunnahabhain Caol Ila Clynelish GlenDronach Glenfar...,"{""complex"": 1}",whiskynotes.be,staging_preview
W000176,web_discovery,review_site,https://www.whiskynotes.be/search/two-brewers-release-09-special-finishes-tasting-notes-review,,,es-tasting-notes-review | WhiskyNotes Skip to content WhiskyNotes Sincere whisky reviews since 2008 Main navigation Menu Whisky reviews Whisky news By distillery Ardbeg BenRiach Bowmore Bruichladdich Bunnahabhain Caol Ila Clynelish GlenDronach Glenfa...,"{""complex"": 1}",whiskynotes.be,staging_preview
W000192,web_discovery,review_site,https://www.whiskynotes.be/search/two-brewers-release-02-special-finishes-tasting-notes-review,,,es-tasting-notes-review | WhiskyNotes Skip to content WhiskyNotes Sincere whisky reviews since 2008 Main navigation Menu Whisky reviews Whisky news By distillery Ardbeg BenRiach Bowmore Bruichladdich Bunnahabhain Caol Ila Clynelish GlenDronach Glenfa...,"{""complex"": 1}",whiskynotes.be,staging_preview
W000230,web_discovery,review_site,https://www.whiskynotes.be/search/two-brewers-release-15-special-finishes-tasting-notes-review,,,es-tasting-notes-review | WhiskyNotes Skip to content WhiskyNotes Sincere whisky reviews since 2008 Main navigation Menu Whisky reviews Whisky news By distillery Ardbeg BenRiach Bowmore Bruichladdich Bunnahabhain Caol Ila Clynelish GlenDronach Glenfa...,"{""complex"": 1}",whiskynotes.be,staging_preview
W000278,web_discovery,review_site,https://www.whiskynotes.be/search/two-brewers-release-28-special-finishes-tasting-notes-review,,,es-tasting-notes-review | WhiskyNotes Skip to content WhiskyNotes Sincere whisky reviews since 2008 Main navigation Menu Whisky reviews Whisky news By distillery Ardbeg BenRiach Bowmore Bruichladdich Bunnahabhain Caol Ila Clynelish GlenDronach Glenfa...,"{""complex"": 1}",whiskynotes.be,staging_preview
