slug,name,type_category,country,region,description,tasting_notes,cask_type,url,source_api_endpoint,source_confidence
aberfeldy,Aberfeldy,,Scotland,Highland,"Aberfeldy is the spiritual home of Dewar's blended whisky and draws its water from the famous Pitilie Burn, known for deposits of alluvial gold. The distillery produces a honeyed, waxy Highland malt with notes of heather and orange peel, anchoring the Dewar's White Label and 12-year-old blends.",,,,/distilleries/,high
aberlour,Aberlour,,Scotland,Speyside,"Aberlour distillery draws water from a natural spring in the heart of Speyside and is known for its rich, sherried style. The A'bunadh cask-strength range is particularly celebrated among whisky enthusiasts for its intense sherry character and non-chill-filtered presentation.",,,,/distilleries/,high
amrut,Amrut,,India,Bangalore,"Amrut in Bangalore was the first Indian distillery to release a single malt whisky for international markets in 2004. The high altitude and tropical heat of Bangalore produce an angel's share of 10-12% annually, resulting in intensely concentrated and richly flavored single malts.",,,,/distilleries/,high
angels-envy,Angel's Envy,,United States,Kentucky,"Angel's Envy was founded by master distiller Lincoln Henderson, who had previously created Woodford Reserve. The brand pioneered the premium finished bourbon category, with its flagship bourbon finished in port wine barrels from Portugal. The distillery in downtown Louisville has become a major Bourbon Trail destination.",,,,/distilleries/,high
ardbeg,Ardbeg,,Scotland,Islay,"Ardbeg produces some of the most heavily peated whiskies on Islay, yet achieves remarkable balance between smoke and sweetness. Rescued from closure in the 1990s, Ardbeg has built a cult following and its annual limited releases generate worldwide excitement.",,,,/distilleries/,high
arran,Arran,,Scotland,Islands,"Arran was the first legal distillery on the Isle of Arran in over 150 years when it opened in 1995 at Lochranza. Run independently, it has earned acclaim for its clean, fruity, and unpeated style. In 2019, a second distillery — Lagg — was opened on the island's south coast for peated production.",,,,/distilleries/,high
auchentoshan,Auchentoshan,,Scotland,Lowland,"Auchentoshan is the only Scottish distillery to fully triple-distill every drop of spirit, following the traditional Lowland practice. Located on the outskirts of Glasgow, this produces an exceptionally smooth, light, and delicate malt that serves as an accessible entry point to single malt Scotch.",,,,/distilleries/,high
balcones,Balcones,,United States,Texas,"Balcones was the first Texas whiskey distillery in modern times, founded in an old welding shop in Waco. Texas heat accelerates aging dramatically, and Balcones has won international acclaim for expressions made with blue corn, Hopi maize, and traditional single malt.",,,,/distilleries/,high
ben-nevis,Ben Nevis,,Scotland,Highland,"Ben Nevis distillery sits at the foot of Britain's highest mountain, Fort William, and is one of the oldest licensed distilleries in Scotland. Now owned by Japan's Nikka, it produces a robust, waxy Highland malt that is highly sought after by independent bottlers and Japanese whisky blenders alike.",,,,/distilleries/,high
bladnoch,Bladnoch,,Scotland,Lowland,"Bladnoch is Scotland's most southerly distillery, located in Wigtown, Galloway. After several closures and revivals, Australian entrepreneur David Prior acquired and restored the distillery in 2015. Bladnoch produces a light, floral Lowland style with citrus and vanilla notes.",,,,/distilleries/,high
blair-athol,Blair Athol,,Scotland,Highland,"Blair Athol distillery in Pitlochry is one of the oldest working distilleries in Scotland, dating to 1798. Most of its production goes into the Bell's blended whisky, but its rare single malt releases — especially from the Flora & Fauna range — are prized for their nutty, sherried character.",,,,/distilleries/,high
bowmore,Bowmore,,Scotland,Islay,"Bowmore is the oldest licensed distillery on Islay and one of the oldest in Scotland. Situated on the shores of Loch Indaal, it produces a medium-peated style that bridges the gap between heavily peated south coast and lighter north coast Islay malts.",,,,/distilleries/,high
breckenridge,Breckenridge,,United States,Colorado,"Breckenridge Distillery operates at 9,600 feet elevation, making it one of the highest distilleries in the world. The high-altitude conditions and Rocky Mountain snowmelt water produce a distinctive bourbon with rich caramel and vanilla character. The distillery has expanded to a large facility and restaurant in Breckenridge.",,,,/distilleries/,high
bruichladdich,Bruichladdich,,Scotland,Islay,"Bruichladdich is the most westerly distillery in Scotland and produces three distinct styles: unpeated Bruichladdich, heavily peated Port Charlotte, and ultra-peated Octomore. The distillery is known for its focus on provenance, using 100% Scottish barley with terroir-driven releases.",,,,/distilleries/,high
buffalo-trace,Buffalo Trace,,United States,Kentucky,"Buffalo Trace is one of America's oldest continuously operating distilleries, producing a vast portfolio that includes Pappy Van Winkle, Eagle Rare, Blanton's, and its eponymous bourbon. The distillery is a National Historic Landmark and has won more awards than any other North American distillery.",,,,/distilleries/,high
bunnahabhain,Bunnahabhain,,Scotland,Islay,"Bunnahabhain is unique among Islay distilleries for producing predominantly unpeated single malt, with a nutty, sherried, and maritime character. The distillery sits at the head of a bay on Islay's northeast coast, drawing water from the Margadale spring.",,,,/distilleries/,high
bushmills,Bushmills,,Ireland,Ulster,"Bushmills holds the oldest licensed distillery claim in the world, with a grant to distill dating to 1608 in County Antrim, Northern Ireland. The distillery triple-distills its single malts and uses a combination of bourbon and sherry casks for a smooth, honeyed character.",,,,/distilleries/,high
canadian-club,Canadian Club (Hiram Walker),,Canada,,"Canadian Club is produced at the historic Hiram Walker distillery in Windsor, Ontario, one of the largest distilleries in North America. Founded in 1858, the brand pioneered the practice of blending whisky before aging (pre-blending) and was a favorite spirit smuggled across the Detroit River during Prohibition.",,,,/distilleries/,high
