whiskeyfyi_name,matched_master_distillery_id,matched_master_name,match_score,current_master_url,proposed_whiskeyfyi_url,current_description,proposed_description,current_region,proposed_region,fields_to_fill,fields_that_would_overwrite,safe_to_apply,reason
Aberlour,,,100,,,,"Aberlour distillery draws water from a natural spring in the heart of Speyside and is known for its rich, sherried style. The A'bunadh cask-strength range is particularly celebrated among whisky enthusiasts for its intense sherry character and non-chill-filtered presentation.",,Speyside,description|region,,YES,
Amrut,,,100,,,,"Amrut in Bangalore was the first Indian distillery to release a single malt whisky for international markets in 2004. The high altitude and tropical heat of Bangalore produce an angel's share of 10-12% annually, resulting in intensely concentrated and richly flavored single malts.",,Bangalore,description|region,,YES,
Auchentoshan,,,100,,,,"Auchentoshan is the only Scottish distillery to fully triple-distill every drop of spirit, following the traditional Lowland practice. Located on the outskirts of Glasgow, this produces an exceptionally smooth, light, and delicate malt that serves as an accessible entry point to single malt Scotch.",,Lowland,description|region,,YES,
Bowmore,,,100,,,,"Bowmore is the oldest licensed distillery on Islay and one of the oldest in Scotland. Situated on the shores of Loch Indaal, it produces a medium-peated style that bridges the gap between heavily peated south coast and lighter north coast Islay malts.",,Islay,description|region,,YES,
Breckenridge,,,100,,,,"Breckenridge Distillery operates at 9,600 feet elevation, making it one of the highest distilleries in the world. The high-altitude conditions and Rocky Mountain snowmelt water produce a distinctive bourbon with rich caramel and vanilla character. The distillery has expanded to a large facility and restaurant in Breckenridge.",,Colorado,description|region,,YES,
Buffalo Trace,,,100,,,,"Buffalo Trace is one of America's oldest continuously operating distilleries, producing a vast portfolio that includes Pappy Van Winkle, Eagle Rare, Blanton's, and its eponymous bourbon. The distillery is a National Historic Landmark and has won more awards than any other North American distillery.",,Kentucky,description|region,,YES,
Bushmills,,,100,,,,"Bushmills holds the oldest licensed distillery claim in the world, with a grant to distill dating to 1608 in County Antrim, Northern Ireland. The distillery triple-distills its single malts and uses a combination of bourbon and sherry casks for a smooth, honeyed character.",,Ulster,description|region,,YES,
Chichibu,,,100,,,,"Chichibu is a small craft distillery founded by Ichiro Akuto in Saitama Prefecture. Despite its tiny output, Chichibu has become one of the most sought-after whiskies in the world, with releases selling at auction for thousands of dollars. The distillery uses Japanese mizunara casks and floor maltings.",,Honshu,description|region,,YES,
Deanston,,,100,,,,"Deanston occupies a converted cotton mill on the River Teith in Perthshire, using its own hydroelectric turbine to power production — making it one of the most eco-friendly distilleries in Scotland. Its unchillfiltered, unpeated Highland malt offers a honeyed, malty character with a creamy texture.",,Highland,description|region,,YES,
Four Roses,,,100,,,,Four Roses is unique among Kentucky distillers in using 10 distinct bourbon recipes — two mashbills combined with five proprietary yeast strains. This approach allows exceptional blending complexity. The distillery's Spanish Mission-style architecture in Lawrenceburg is a Kentucky landmark.,,Kentucky,description|region,,YES,
Glenfiddich,,,100,,,,"Glenfiddich is the world's best-selling single malt Scotch whisky, pioneering the category's global growth since the 1960s. The family-owned distillery in Dufftown remains one of the few Scottish distilleries with its own on-site cooperage and coppersmith.",,Speyside,description|region,,YES,
Glengoyne,,,100,,,,"Glengoyne sits on the Highland Line boundary, distilling in the Highlands but maturing its whisky across the road in the Lowlands. It is notable for using completely unpeated barley dried with warm air only, and exclusively sherry casks for maturation, producing an exceptionally clean, rich, and fruity malt.",,Highland,description|region,,YES,
Glen Grant,,,100,,,,"Glen Grant is one of the best-selling single malts in the world, particularly dominant in the Italian market. Founded by brothers John and James Grant in Rothes, the distillery is known for its tall, slender stills with purifiers that produce a light, crisp, and apple-forward spirit.",,Speyside,description|region,,YES,
Glenmorangie,,,100,,,,"Glenmorangie operates the tallest pot stills in Scotland, standing over 5 meters high, which produce an exceptionally light and elegant spirit. The distillery pioneered wood-finishing in the whisky industry and its core range includes finishes in Sauternes, sherry, and Burgundy casks.",,Highland,description|region,,YES,
Glen Scotia,,,100,,,,"Glen Scotia is one of only three remaining distilleries in Campbeltown, once Scotland's whisky capital with over 30 distilleries. Revived under the Loch Lomond Group, Glen Scotia produces a maritime, briny style with gentle peat smoke that captures the essence of the Campbeltown region.",,Campbeltown,description|region,,YES,
Hakushu,,,100,,,,"Hakushu distillery sits in a forest at 700 meters elevation in the Japanese Southern Alps, producing a distinctively fresh, herbal, and lightly smoky style. The high-altitude forest setting provides crisp mountain water and cool temperatures ideal for delicate spirit production.",,Honshu,description|region,,YES,
Hellyers Road,,,100,,,,"Hellyers Road in Burnie is Tasmania's largest whisky distillery, owned by a local dairy co-operative. The distillery produces both peated and unpeated single malts using Tasmanian barley and pure water from the region's ancient rainforests. Its output has grown from craft-scale to one of Australia's most widely available single malts.",,Tasmania,description|region,,YES,
Jack Daniel's,,,100,,,,"Jack Daniel's is the world's best-selling American whiskey, produced in Lynchburg, Tennessee since 1866. Every drop is charcoal-mellowed through 10 feet of sugar maple charcoal before aging, a process that gives Tennessee whiskey its distinctive smooth character.",,Tennessee,description|region,,YES,
Jim Beam,,,100,,,,"Jim Beam is the world's best-selling bourbon brand, produced by the Beam family for seven generations in Clermont, Kentucky. The distillery uses a proprietary yeast strain that has been maintained since before Prohibition, contributing to its signature smooth, caramel-forward character.",,Kentucky,description|region,,YES,
