raw_name,nose,palate,finish,page_number,source_file,source_type,source_confidence,raw_note,best_match,match_score,review_reason,db_age,db_abv,record_id
Whisky Flights,,,,14,The_Malt_List.pdf,historical_bar_menu,medium,Whisky Flights,Highspire Whiskey,71,No close match found,,,
Looking to experience our malt whisky in more depth? Then why not try our whisky,,,,14,The_Malt_List.pdf,historical_bar_menu,medium,Looking to experience our malt whisky in more depth? Then why not try our whisky,Shelter Point Artisanal Single Malt Whisky,45,No close match found,,,
flights. The flights can give you a wonderful introduction to Scottish malt whisky and,,,,14,The_Malt_List.pdf,historical_bar_menu,medium,flights. The flights can give you a wonderful introduction to Scottish malt whisky and,The Irishman Original Clan Irish Whiskey,45,No close match found,,,
HIGHLAND            £14,,,,14,The_Malt_List.pdf,historical_bar_menu,medium,HIGHLAND            £14,Highland Park 40yo,69,No close match found,,,
'A distillery located in Tain that needs no introduction. Still the biggest selling malt in,,,,14,The_Malt_List.pdf,historical_bar_menu,medium,'A distillery located in Tain that needs no introduction. Still the biggest selling malt in,Lagavulin Distiller's Edition (All Vintages),49,No close match found,,,
Scotland. Famous in recent years for their wood finishes.',Citrus and floral,Vanilla followed by flowery fruitiness,Clean medium length,14,The_Malt_List.pdf,historical_bar_menu,medium,Scotland. Famous in recent years for their wood finishes.',Teeling Single Grain (Wine Cask Finish),50,No close match found,,,
'The most Northern distillery in Scotland located in Wick. Located only 250 yards,,,,14,The_Malt_List.pdf,historical_bar_menu,medium,'The most Northern distillery in Scotland located in Wick. Located only 250 yards,Last Mountain Distillery Single Cask Rye Whisky,51,No close match found,,,
from the harbour. Perhaps that gives it the salty aftertaste?',dry,light smooth and clean,slightly salty,14,The_Malt_List.pdf,historical_bar_menu,medium,from the harbour. Perhaps that gives it the salty aftertaste?',Game of Thrones House Stark Dalwhinnie Winter’s Frost,48,No close match found,,,
"'Possibly my favourite distillery. The master blender for Dalmore, Mr Richard",,,,14,The_Malt_List.pdf,historical_bar_menu,medium,"'Possibly my favourite distillery. The master blender for Dalmore, Mr Richard",Jack Daniel's Master Distiller (all series),52,No close match found,,,
Patterson is one of the industry’s extroverts. His passion for whisky is quite,,,,14,The_Malt_List.pdf,historical_bar_menu,medium,Patterson is one of the industry’s extroverts. His passion for whisky is quite,"Three Boys Farm Distillery / Whiskey Thief Distilling Company, Inc.",49,No close match found,,,
incredible.’,orange and chocolate,sherry and spice,orange and vanilla,14,The_Malt_List.pdf,historical_bar_menu,medium,incredible.’,Ingendael,53,No close match found,,,
ISLAND                £14,,,,14,The_Malt_List.pdf,historical_bar_menu,medium,ISLAND                £14,Slane,57,No close match found,,,
'One of the more powerful Islay malts in terms of peatiness and an iconic Islay,,,,14,The_Malt_List.pdf,historical_bar_menu,medium,'One of the more powerful Islay malts in terms of peatiness and an iconic Islay,Arran Malt Napoleon Cognac Finish,45,No close match found,,,
distillery.',"Peat, smoke and citrus",Peat followed by a touch of liquorice.,Smoky and Long,14,The_Malt_List.pdf,historical_bar_menu,medium,distillery.',Bendistillery,87,ABV mismatch or missing,nan,nan,WDB-01909
'From Orkney this is a wonderful entry level malt and a great all rounder. Has all the,,,,15,The_Malt_List.pdf,historical_bar_menu,medium,'From Orkney this is a wonderful entry level malt and a great all rounder. Has all the,Arran Malt The Devil’s Punch Bowl (all chapters),46,No close match found,,,
elements of a classic malt whisky.',Honey sweetness with smoky peat,Dry smoky and sweet,Heathery with slight smoke,15,The_Malt_List.pdf,historical_bar_menu,medium,elements of a classic malt whisky.',Swiss Highland Classic Single Malt,60,No close match found,,,
"'Fascinating distillery from Islay that has created some remarkable whiskies, namely",,,,15,The_Malt_List.pdf,historical_bar_menu,medium,"'Fascinating distillery from Islay that has created some remarkable whiskies, namely",Last Mountain Distillery Single Cask 100% Wheat Whisky,53,No close match found,,,
