whisky_id,whisky_name,source_url,source_domain,source_type,snapshot_path,http_status,fetch_status,extraction_status,match_score,mismatch_flags,nose_notes,palate_notes,finish_notes,aroma_tags,extracted_profile_vector,recommended_action,production_ready
W001453,pike creek 21yo double barrel speyside cask finish (2017),https://www.whiskynotes.be/search/pike-creek-21yo-double-barrel-speyside-cask-finish-(2017)-tasting-notes-review,whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W001453_19.html,,,extracted,95,,,,(2017)-tasting-notes-review | WhiskyNotes Skip to content WhiskyNotes Sincere whisky reviews since 2008 Main navigation Menu Whisky reviews Whisky news By distillery Ardbeg BenRiach Bowmore Bruichladdich Bunnahabhain Caol Ila Clynelish GlenDronach Gl...,,,import_to_staging,true
W001418,pike creek 21yo finished in oloroso sherry casks (2019),https://www.whiskynotes.be/search/pike-creek-21yo-finished-in-oloroso-sherry-casks-(2019)-tasting-notes-review,whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W001418_24.html,,,extracted,95,,,,ed-in-oloroso-sherry-casks-(2019)-tasting-notes-review | WhiskyNotes Skip to content WhiskyNotes Sincere whisky reviews since 2008 Main navigation Menu Whisky reviews Whisky news By distillery Ardbeg BenRiach Bowmore Bruichladdich Bunnahabhain Caol I...,,,import_to_staging,true
W000593,glenfiddich ipa cask finish experimental series no. 1,https://www.whiskynotes.be/search/glenfiddich-ipa-cask-finish-experimental-series-no.-1-tasting-notes-review,whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W000593_31.html,,,extracted,100,,,,experimental-series-no.-1-tasting-notes-review | WhiskyNotes Skip to content WhiskyNotes Sincere whisky reviews since 2008 Main navigation Menu Whisky reviews Whisky news By distillery Ardbeg BenRiach Bowmore Bruichladdich Bunnahabhain Caol Ila Clyne...,,,import_to_staging,true
W001791,jim beam distillers masterpiece px sherry cask finish,https://www.whiskynotes.be/search/jim-beam-distillers-masterpiece-px-sherry-cask-finish-tasting-notes-review,whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W001791_33.html,,,extracted,90,,,,tasting-notes-review | WhiskyNotes Skip to content WhiskyNotes Sincere whisky reviews since 2008 Main navigation Menu Whisky reviews Whisky news By distillery Ardbeg BenRiach Bowmore Bruichladdich Bunnahabhain Caol Ila Clynelish GlenDronach Glenfarcl...,,,import_to_staging,true
W001498,crown royal noble collection french oak cask finished,https://www.whiskynotes.be/search/crown-royal-noble-collection-french-oak-cask-finished-tasting-notes-review,whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W001498_35.html,,,extracted,90,,,,ed-tasting-notes-review | WhiskyNotes Skip to content WhiskyNotes Sincere whisky reviews since 2008 Main navigation Menu Whisky reviews Whisky news By distillery Ardbeg BenRiach Bowmore Bruichladdich Bunnahabhain Caol Ila Clynelish GlenDronach Glenfa...,,,import_to_staging,true
W001458,crown royal noble collection wine barrel finished,https://www.whiskynotes.be/search/crown-royal-noble-collection-wine-barrel-finished-tasting-notes-review,whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W001458_52.html,,,extracted,90,,,,ed-tasting-notes-review | WhiskyNotes Skip to content WhiskyNotes Sincere whisky reviews since 2008 Main navigation Menu Whisky reviews Whisky news By distillery Ardbeg BenRiach Bowmore Bruichladdich Bunnahabhain Caol Ila Clynelish GlenDronach Glenfa...,,,import_to_staging,true
W000405,lohin mckinnon wine barrel finished (black sage),https://www.whiskynotes.be/search/lohin-mckinnon-wine-barrel-finished-(black-sage)-tasting-notes-review,whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W000405_60.html,,,extracted,90,,,,ed-(black-sage)-tasting-notes-review | WhiskyNotes Skip to content WhiskyNotes Sincere whisky reviews since 2008 Main navigation Menu Whisky reviews Whisky news By distillery Ardbeg BenRiach Bowmore Bruichladdich Bunnahabhain Caol Ila Clynelish GlenD...,,,import_to_staging,true
W000096,benriach 17yo solstice 2nd peated port finish,https://www.whiskynotes.be/search/benriach-17yo-solstice-2nd-peated-port-finish-tasting-notes-review,whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W000096_88.html,,,extracted,95,,,,tasting-notes-review | WhiskyNotes Skip to content WhiskyNotes Sincere whisky reviews since 2008 Main navigation Menu Whisky reviews Whisky news By distillery Ardbeg BenRiach Bowmore Bruichladdich Bunnahabhain Caol Ila Clynelish GlenDronach Glenfarcl...,,,import_to_staging,true
W000110,benriach 17yo solstice 1st peated port finish,https://www.whiskynotes.be/search/benriach-17yo-solstice-1st-peated-port-finish-tasting-notes-review,whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W000110_89.html,,,extracted,95,,,,tasting-notes-review | WhiskyNotes Skip to content WhiskyNotes Sincere whisky reviews since 2008 Main navigation Menu Whisky reviews Whisky news By distillery Ardbeg BenRiach Bowmore Bruichladdich Bunnahabhain Caol Ila Clynelish GlenDronach Glenfarcl...,,,import_to_staging,true
W000697,teeling silver reserve 21yo sauternes finish,https://www.whiskynotes.be/search/teeling-silver-reserve-21yo-sauternes-finish-tasting-notes-review,whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W000697_102.html,,,extracted,95,,,,tasting-notes-review | WhiskyNotes Skip to content WhiskyNotes Sincere whisky reviews since 2008 Main navigation Menu Whisky reviews Whisky news By distillery Ardbeg BenRiach Bowmore Bruichladdich Bunnahabhain Caol Ila Clynelish GlenDronach Glenfarcl...,,,import_to_staging,true
