whisky_id,product_name,source_url,source_name,nose,palate,finish,source_verified,match_status,approval_status,import_recommendation,block_reason,dry_run_action
W001453,pike creek 21yo double barrel speyside cask finish (2017),https://www.whiskynotes.be/search/pike-creek-21yo-double-barrel-speyside-cask-finish-(2017)-tasting-notes-review,whiskynotes.be,,,(2017)-tasting-notes-review | WhiskyNotes Skip to content WhiskyNotes Sincere whisky reviews since 2008 Main navigation Menu Whisky reviews Whisky news By distillery Ardbeg BenRiach Bowmore Bruichladdich Bunnahabhain Caol Ila Clynelish GlenDronach Gl...,true,strict_matched,pending,staging_insert_candidate,,would_insert_to_staging
W001418,pike creek 21yo finished in oloroso sherry casks (2019),https://www.whiskynotes.be/search/pike-creek-21yo-finished-in-oloroso-sherry-casks-(2019)-tasting-notes-review,whiskynotes.be,,,ed-in-oloroso-sherry-casks-(2019)-tasting-notes-review | WhiskyNotes Skip to content WhiskyNotes Sincere whisky reviews since 2008 Main navigation Menu Whisky reviews Whisky news By distillery Ardbeg BenRiach Bowmore Bruichladdich Bunnahabhain Caol I...,true,strict_matched,pending,staging_insert_candidate,,would_insert_to_staging
W000593,glenfiddich ipa cask finish experimental series no. 1,https://www.whiskynotes.be/search/glenfiddich-ipa-cask-finish-experimental-series-no.-1-tasting-notes-review,whiskynotes.be,,,experimental-series-no.-1-tasting-notes-review | WhiskyNotes Skip to content WhiskyNotes Sincere whisky reviews since 2008 Main navigation Menu Whisky reviews Whisky news By distillery Ardbeg BenRiach Bowmore Bruichladdich Bunnahabhain Caol Ila Clyne...,true,strict_matched,pending,staging_insert_candidate,,would_insert_to_staging
W001791,jim beam distillers masterpiece px sherry cask finish,https://www.whiskynotes.be/search/jim-beam-distillers-masterpiece-px-sherry-cask-finish-tasting-notes-review,whiskynotes.be,,,tasting-notes-review | WhiskyNotes Skip to content WhiskyNotes Sincere whisky reviews since 2008 Main navigation Menu Whisky reviews Whisky news By distillery Ardbeg BenRiach Bowmore Bruichladdich Bunnahabhain Caol Ila Clynelish GlenDronach Glenfarcl...,true,strict_matched,pending,staging_insert_candidate,,would_insert_to_staging
W001498,crown royal noble collection french oak cask finished,https://www.whiskynotes.be/search/crown-royal-noble-collection-french-oak-cask-finished-tasting-notes-review,whiskynotes.be,,,ed-tasting-notes-review | WhiskyNotes Skip to content WhiskyNotes Sincere whisky reviews since 2008 Main navigation Menu Whisky reviews Whisky news By distillery Ardbeg BenRiach Bowmore Bruichladdich Bunnahabhain Caol Ila Clynelish GlenDronach Glenfa...,true,strict_matched,pending,staging_insert_candidate,,would_insert_to_staging
W001458,crown royal noble collection wine barrel finished,https://www.whiskynotes.be/search/crown-royal-noble-collection-wine-barrel-finished-tasting-notes-review,whiskynotes.be,,,ed-tasting-notes-review | WhiskyNotes Skip to content WhiskyNotes Sincere whisky reviews since 2008 Main navigation Menu Whisky reviews Whisky news By distillery Ardbeg BenRiach Bowmore Bruichladdich Bunnahabhain Caol Ila Clynelish GlenDronach Glenfa...,true,strict_matched,pending,staging_insert_candidate,,would_insert_to_staging
W000405,lohin mckinnon wine barrel finished (black sage),https://www.whiskynotes.be/search/lohin-mckinnon-wine-barrel-finished-(black-sage)-tasting-notes-review,whiskynotes.be,,,ed-(black-sage)-tasting-notes-review | WhiskyNotes Skip to content WhiskyNotes Sincere whisky reviews since 2008 Main navigation Menu Whisky reviews Whisky news By distillery Ardbeg BenRiach Bowmore Bruichladdich Bunnahabhain Caol Ila Clynelish GlenD...,true,strict_matched,pending,staging_insert_candidate,,would_insert_to_staging
W000096,benriach 17yo solstice 2nd peated port finish,https://www.whiskynotes.be/search/benriach-17yo-solstice-2nd-peated-port-finish-tasting-notes-review,whiskynotes.be,,,tasting-notes-review | WhiskyNotes Skip to content WhiskyNotes Sincere whisky reviews since 2008 Main navigation Menu Whisky reviews Whisky news By distillery Ardbeg BenRiach Bowmore Bruichladdich Bunnahabhain Caol Ila Clynelish GlenDronach Glenfarcl...,true,strict_matched,pending,staging_insert_candidate,,would_insert_to_staging
W000110,benriach 17yo solstice 1st peated port finish,https://www.whiskynotes.be/search/benriach-17yo-solstice-1st-peated-port-finish-tasting-notes-review,whiskynotes.be,,,tasting-notes-review | WhiskyNotes Skip to content WhiskyNotes Sincere whisky reviews since 2008 Main navigation Menu Whisky reviews Whisky news By distillery Ardbeg BenRiach Bowmore Bruichladdich Bunnahabhain Caol Ila Clynelish GlenDronach Glenfarcl...,true,strict_matched,pending,staging_insert_candidate,,would_insert_to_staging
W000697,teeling silver reserve 21yo sauternes finish,https://www.whiskynotes.be/search/teeling-silver-reserve-21yo-sauternes-finish-tasting-notes-review,whiskynotes.be,,,tasting-notes-review | WhiskyNotes Skip to content WhiskyNotes Sincere whisky reviews since 2008 Main navigation Menu Whisky reviews Whisky news By distillery Ardbeg BenRiach Bowmore Bruichladdich Bunnahabhain Caol Ila Clynelish GlenDronach Glenfarcl...,true,strict_matched,pending,staging_insert_candidate,,would_insert_to_staging
