staging_id,whisky_id,product_name,source_system,source_doc,source_entry_number,nose_notes,palate_notes,finish_notes,overall_summary,duplicate_in_tasting_notes,duplicate_in_staging,promotion_decision,block_reason,recommended_action
9,W000001,Aberlour A'Bunadh,uploaded_document,uploaded_whisky_tasting_notes.txt,1,Nice aroma for aberlour a'bunadh,Good flavor for aberlour a'bunadh,Long finish.,Very good.,False,False,PASS,,promote_to_tasting_notes
10,W000002,Laphroaig The Cask Legacy,uploaded_document,uploaded_whisky_tasting_notes.txt,2,Nice aroma for laphroaig the cask legacy,Good flavor for laphroaig the cask legacy,Long finish.,Very good.,False,False,PASS,,promote_to_tasting_notes
11,W000003,Glenlivet 15Yo French Oak,uploaded_document,uploaded_whisky_tasting_notes.txt,3,Nice aroma for glenlivet 15yo french oak,Good flavor for glenlivet 15yo french oak,Long finish.,Very good.,False,False,PASS,,promote_to_tasting_notes
12,W000004,Talisker 10Y,uploaded_document,uploaded_whisky_tasting_notes.txt,4,Nice aroma for talisker 10y,Good flavor for talisker 10y,Long finish.,Very good.,False,False,PASS,,promote_to_tasting_notes
13,W000005,Redbreast 12Y,uploaded_document,uploaded_whisky_tasting_notes.txt,5,Nice aroma for redbreast 12y,Good flavor for redbreast 12y,Long finish.,Very good.,False,False,PASS,,promote_to_tasting_notes
14,W000006,Aberlour Casg Annamh,uploaded_document,uploaded_whisky_tasting_notes.txt,6,Nice aroma for aberlour casg annamh,Good flavor for aberlour casg annamh,Long finish.,Very good.,False,False,PASS,,promote_to_tasting_notes
15,W000007,Macallan 12Yo Double Cask,uploaded_document,uploaded_whisky_tasting_notes.txt,7,Nice aroma for macallan 12yo double cask,Good flavor for macallan 12yo double cask,Long finish.,Very good.,False,False,PASS,,promote_to_tasting_notes
16,W000008,Aberlour 14Y,uploaded_document,uploaded_whisky_tasting_notes.txt,8,Nice aroma for aberlour 14y,Good flavor for aberlour 14y,Long finish.,Very good.,False,False,PASS,,promote_to_tasting_notes
17,W000009,Aberlour 12Y,uploaded_document,uploaded_whisky_tasting_notes.txt,9,Nice aroma for aberlour 12y,Good flavor for aberlour 12y,Long finish.,Very good.,False,False,PASS,,promote_to_tasting_notes
18,W000010,Balvenie 14Y Caribbean Cask,uploaded_document,uploaded_whisky_tasting_notes.txt,10,Nice aroma for balvenie 14y caribbean cask,Good flavor for balvenie 14y caribbean cask,Long finish.,Very good.,False,False,PASS,,promote_to_tasting_notes
19,W000011,Glengoyne 12Y,uploaded_document,uploaded_whisky_tasting_notes.txt,11,Nice aroma for glengoyne 12y,Good flavor for glengoyne 12y,Long finish.,Very good.,False,False,PASS,,promote_to_tasting_notes
20,W000012,Deanston 12Y,uploaded_document,uploaded_whisky_tasting_notes.txt,12,Nice aroma for deanston 12y,Good flavor for deanston 12y,Long finish.,Very good.,False,False,PASS,,promote_to_tasting_notes
21,W000013,Glenfiddich 15Yo Solera,uploaded_document,uploaded_whisky_tasting_notes.txt,13,Nice aroma for glenfiddich 15yo solera,Good flavor for glenfiddich 15yo solera,Long finish.,Very good.,False,False,PASS,,promote_to_tasting_notes
22,W000014,Glen Scotia 10Y,uploaded_document,uploaded_whisky_tasting_notes.txt,14,Nice aroma for glen scotia 10y,Good flavor for glen scotia 10y,Long finish.,Very good.,False,False,PASS,,promote_to_tasting_notes
23,W000015,Bowmore 12Y,uploaded_document,uploaded_whisky_tasting_notes.txt,15,Nice aroma for bowmore 12y,Good flavor for bowmore 12y,Long finish.,Very good.,False,False,PASS,,promote_to_tasting_notes
24,W000016,Glenmorangie The Original 10Y,uploaded_document,uploaded_whisky_tasting_notes.txt,16,Nice aroma for glenmorangie the original 10y,Good flavor for glenmorangie the original 10y,Long finish.,Very good.,False,False,PASS,,promote_to_tasting_notes
25,W000017,Glen Grant 10Yo,uploaded_document,uploaded_whisky_tasting_notes.txt,17,Nice aroma for glen grant 10yo,Good flavor for glen grant 10yo,Long finish.,Very good.,False,False,PASS,,promote_to_tasting_notes
26,W000018,Auchentoshan 12Yo,uploaded_document,uploaded_whisky_tasting_notes.txt,18,Nice aroma for auchentoshan 12yo,Good flavor for auchentoshan 12yo,Long finish.,Very good.,False,False,PASS,,promote_to_tasting_notes
27,W000019,Auchentoshan American Oak,uploaded_document,uploaded_whisky_tasting_notes.txt,19,Nice aroma for auchentoshan american oak,Good flavor for auchentoshan american oak,Long finish.,Very good.,False,False,PASS,,promote_to_tasting_notes
28,W000020,Ardmore Legacy,uploaded_document,uploaded_whisky_tasting_notes.txt,20,Nice aroma for ardmore legacy,Good flavor for ardmore legacy,Long finish.,Very good.,False,False,PASS,,promote_to_tasting_notes
29,W000021,Chivas Extra 13,uploaded_document,uploaded_whisky_tasting_notes.txt,21,Nice aroma for chivas extra 13,Good flavor for chivas extra 13,Long finish.,Very good.,False,False,PASS,,promote_to_tasting_notes
30,W000022,Tamnavulin White Wine Cask,uploaded_document,uploaded_whisky_tasting_notes.txt,22,Nice aroma for tamnavulin white wine cask,Good flavor for tamnavulin white wine cask,Long finish.,Very good.,False,False,PASS,,promote_to_tasting_notes
31,W000023,Tamnavulin Double Cask,uploaded_document,uploaded_whisky_tasting_notes.txt,23,Nice aroma for tamnavulin double cask,Good flavor for tamnavulin double cask,Long finish.,Very good.,False,False,PASS,,promote_to_tasting_notes
32,W000024,Monkey Shoulder,uploaded_document,uploaded_whisky_tasting_notes.txt,24,Nice aroma for monkey shoulder,Good flavor for monkey shoulder,Long finish.,Very good.,False,False,PASS,,promote_to_tasting_notes
33,W000025,Gladstone Axe American Oak,uploaded_document,uploaded_whisky_tasting_notes.txt,25,Nice aroma for gladstone axe american oak,Good flavor for gladstone axe american oak,Long finish.,Very good.,False,False,PASS,,promote_to_tasting_notes
34,W000028,"Laphroaig 27Yo 57.4% 1980-2007 (Ob, 5 Oloroso Casks, 972 Bts)",uploaded_document,uploaded_whisky_tasting_notes.txt,26,"Nice aroma for laphroaig 27yo 57.4% 1980-2007 (ob, 5 oloroso casks, 972 bts)","Good flavor for laphroaig 27yo 57.4% 1980-2007 (ob, 5 oloroso casks, 972 bts)",Long finish.,Very good.,False,False,PASS,,promote_to_tasting_notes
35,W000030,Amrut Spectrum (Batch 1),uploaded_document,uploaded_whisky_tasting_notes.txt,27,Nice aroma for amrut spectrum (batch 1),Good flavor for amrut spectrum (batch 1),Long finish.,Very good.,False,False,PASS,,promote_to_tasting_notes
36,W000031,Glengoyne 25Yo,uploaded_document,uploaded_whisky_tasting_notes.txt,28,Nice aroma for glengoyne 25yo,Good flavor for glengoyne 25yo,Long finish.,Very good.,False,False,PASS,,promote_to_tasting_notes
37,W000036,Kavalan Solist Oloroso Sherry Cask,uploaded_document,uploaded_whisky_tasting_notes.txt,29,Nice aroma for kavalan solist oloroso sherry cask,Good flavor for kavalan solist oloroso sherry cask,Long finish.,Very good.,False,False,PASS,,promote_to_tasting_notes
38,W000037,Aberlour A'Bunadh (Batch 33),uploaded_document,uploaded_whisky_tasting_notes.txt,30,Nice aroma for aberlour a'bunadh (batch 33),Good flavor for aberlour a'bunadh (batch 33),Long finish.,Very good.,False,False,PASS,,promote_to_tasting_notes
39,W000038,Aberlour A'Bunadh (Batch 37),uploaded_document,uploaded_whisky_tasting_notes.txt,31,Nice aroma for aberlour a'bunadh (batch 37),Good flavor for aberlour a'bunadh (batch 37),Long finish.,Very good.,False,False,PASS,,promote_to_tasting_notes
40,W000040,Laphroaig 25Yo,uploaded_document,uploaded_whisky_tasting_notes.txt,32,Nice aroma for laphroaig 25yo,Good flavor for laphroaig 25yo,Long finish.,Very good.,False,False,PASS,,promote_to_tasting_notes
41,W000042,Aberlour A'Bunadh (Batch 40),uploaded_document,uploaded_whisky_tasting_notes.txt,33,Nice aroma for aberlour a'bunadh (batch 40),Good flavor for aberlour a'bunadh (batch 40),Long finish.,Very good.,False,False,PASS,,promote_to_tasting_notes
42,W000043,Yamazaki 18Yo,uploaded_document,uploaded_whisky_tasting_notes.txt,34,Nice aroma for yamazaki 18yo,Good flavor for yamazaki 18yo,Long finish.,Very good.,False,False,PASS,,promote_to_tasting_notes
43,W000044,Aberlour A'Bunadh (Batch 49),uploaded_document,uploaded_whisky_tasting_notes.txt,35,Nice aroma for aberlour a'bunadh (batch 49),Good flavor for aberlour a'bunadh (batch 49),Long finish.,Very good.,False,False,PASS,,promote_to_tasting_notes
44,W000046,Yamazaki Sherry Cask (All Vintages),uploaded_document,uploaded_whisky_tasting_notes.txt,36,Nice aroma for yamazaki sherry cask (all vintages),Good flavor for yamazaki sherry cask (all vintages),Long finish.,Very good.,False,False,PASS,,promote_to_tasting_notes
45,W000047,Aberlour A'Bunadh (Batch 56),uploaded_document,uploaded_whisky_tasting_notes.txt,37,Nice aroma for aberlour a'bunadh (batch 56),Good flavor for aberlour a'bunadh (batch 56),Long finish.,Very good.,False,False,PASS,,promote_to_tasting_notes
46,W000049,Compass Box Last Vatted Malt,uploaded_document,uploaded_whisky_tasting_notes.txt,38,Nice aroma for compass box last vatted malt,Good flavor for compass box last vatted malt,Long finish.,Very good.,False,False,PASS,,promote_to_tasting_notes
47,W000050,Amrut Greedy Angels (8Yo And 10Yo),uploaded_document,uploaded_whisky_tasting_notes.txt,39,Nice aroma for amrut greedy angels (8yo and 10yo),Good flavor for amrut greedy angels (8yo and 10yo),Long finish.,Very good.,False,False,PASS,,promote_to_tasting_notes
48,W000052,Amrut Spectrum (All Batches),uploaded_document,uploaded_whisky_tasting_notes.txt,40,Nice aroma for amrut spectrum (all batches),Good flavor for amrut spectrum (all batches),Long finish.,Very good.,False,False,PASS,,promote_to_tasting_notes
49,W000053,Bowmore Springtide,uploaded_document,uploaded_whisky_tasting_notes.txt,41,Nice aroma for bowmore springtide,Good flavor for bowmore springtide,Long finish.,Very good.,False,False,PASS,,promote_to_tasting_notes
50,W000056,Kavalan Solist Vinho Barrique,uploaded_document,uploaded_whisky_tasting_notes.txt,42,Nice aroma for kavalan solist vinho barrique,Good flavor for kavalan solist vinho barrique,Long finish.,Very good.,False,False,PASS,,promote_to_tasting_notes
51,W000057,Aberlour A'Bunadh (Batch 53),uploaded_document,uploaded_whisky_tasting_notes.txt,43,Nice aroma for aberlour a'bunadh (batch 53),Good flavor for aberlour a'bunadh (batch 53),Long finish.,Very good.,False,False,PASS,,promote_to_tasting_notes
52,W000060,Aberlour A'Bunadh (Batch 39),uploaded_document,uploaded_whisky_tasting_notes.txt,44,Nice aroma for aberlour a'bunadh (batch 39),Good flavor for aberlour a'bunadh (batch 39),Long finish.,Very good.,False,False,PASS,,promote_to_tasting_notes
53,W000062,Karuizawa 1990 Sherry Butt,uploaded_document,uploaded_whisky_tasting_notes.txt,45,Nice aroma for karuizawa 1990 sherry butt,Good flavor for karuizawa 1990 sherry butt,Long finish.,Very good.,False,False,PASS,,promote_to_tasting_notes
54,W000063,Kavalan Solist Px Cask,uploaded_document,uploaded_whisky_tasting_notes.txt,46,Nice aroma for kavalan solist px cask,Good flavor for kavalan solist px cask,Long finish.,Very good.,False,False,PASS,,promote_to_tasting_notes
55,W000066,Amrut Spectrum 004 (Batch 2),uploaded_document,uploaded_whisky_tasting_notes.txt,47,Nice aroma for amrut spectrum 004 (batch 2),Good flavor for amrut spectrum 004 (batch 2),Long finish.,Very good.,False,False,PASS,,promote_to_tasting_notes
