source_review_id,slug,name,nose,palate,finish,conclusion_marcel,conclusion_sascha,source_url,source_api_endpoint,source_confidence,extraction_method
620,nc-nean-huntress-malted-teacake-2017-2026,Nc'Nean Huntress Malted Teacake (2017/2026),"Very malty and grain-forward, with fresh garden herbs and a crisp Granny Smith acidity. Freshly cut, slightly damp grass, a leafy peach, and the soft creaminess that the Belgian yeast strain quietly leaves behind in the background.","Malty at the core, immediately framed by honey and warm buttered toast. A spicy layer takes over – crema catalana with its caramelised crust – alongside a velvety, almost beery undertone from the Belgian ale yeast.","Medium length. The peach from the nose returns, riper now, carried by a spicy oak grip and a last toast note that lingers.","Flavour-wise it's genuinely fine – malty, buttery, with a charming Belgian-beer twist. But pricing-wise it's simply bananas: for €135 per litre I expect more depth or at least an age statement to justify the bill. What's left is a likeable Highland malt with a nice story – the 80 points are for the liquid; the rest you'll have to negotiate with your own bank statement.","Tastes great and has a lovely buttery, creamy texture, carried by a pleasant harmony of sweetness and spice. The Belgian ale yeast adds a slightly beery, malty twist you really don't get every day, while the STR maturation puts a clearly spicy frame around the bourbon vanilla and oloroso sweetness. In a few spots it still feels a touch young – a couple more years on wood would have added depth. For me, still a successful experiment that clearly carries the distillery's signature.",/whisky-reviews/nc-nean-huntress-malted-teacake-2017-2026,/api/whisky-reviews/nc-nean-huntress-malted-teacake-2017-2026,high,api_json
619,dalmore-2007-2017-10-years-a-d-rattray,Dalmore 10 Years (2007/2017) - A.D. Rattray,"The PX finish announces itself immediately: cherry jam first, followed by a generous serving of plum and soft caramel. Underneath sits a clearly malty base that gives the whole thing substance. A flash of citrus appears, accompanied by a herbal note. Lemon balm all but insists on itself as the comparison. A sweet, spicy bouquet that makes you want more.","Oily and powerful as it lands on the palate – the 55.6% ABV shows honest presence here. But the fruit from the nose is suddenly nowhere to be found. Instead, the oak takes command, flanked by a hearty spiciness and a hint of caramel. The herbal note lingers as an echo. A mild bitterness sets in, joined by leathery, almost charred nuances. The playful PX promise turns into a dry, spicy oak performance.","Very warming, slightly alcoholic, and with a clear peppery sharpness. The bitterness from the opening stays put, clearly noticeable and no longer easy to ignore. A finish with posture, but one that offers little in the way of reconciliation.","This one just never really gets off the ground. The nose promises a fruity journey, the palate only delivers wood and bitterness. Tried once is enough, honestly didn't win me over. Shame about the PX finish that never makes it to the tongue.","The PX fruitiness stays sadly confined to the nose. From the first sip onwards, the spice takes over. Oiliness and intensity are on point, the underlying structure holds up. But you have to like the hearty, spicy direction it veers into. Interestingly built, yes, but not convincing.",/whisky-reviews/dalmore-2007-2017-10-years-a-d-rattray,/api/whisky-reviews/dalmore-2007-2017-10-years-a-d-rattray,high,api_json
618,littlemill-1991-2016-gordon-and-company,Littlemill (1991/2016) - Gordon & Company,"Floral and vegetal. Like stepping into a damp, warm greenhouse. Rhubarb and strawberries open up, accompanied by black pepper and a dry spiciness. Behind them, a basket of yellow fruits lurks, apricots above all, that never quite push to the foreground, instead staying quietly in the background. Dried grass and hay meadow, green tea and the faintest summer honey. Typical Littlemill markers, instantly recognisable. Well-balanced, almost fresh.","Powerful and fruity – here the yellow fruits finally step forward. Oily, melting, candied and syrupy. Ripe honeydew melon, rhubarb and gooseberry. Malty sweetness and a touch of shortbread. But the plant side stays loyal, a colourful bouquet of kitchen herbs with tarragon and plenty of peppermint. Robust spiciness, pepper and oak bring power. Juicy flower stems and an almost tangible freshness. Considerably herbal and powerful, with real complexity.","Extremely long and dry. Loads of pepper, peppermint tea and menthol. The mint practically rises into the nostrils. A touch of cinnamon and green wood on the tongue. The vegetal side takes over completely and lingers endlessly. Multilayered, with an oak power that's perfectly dosed after 25 years.","The oak brings a lot here, not blunt, but multilayered. The herbal, vegetal side dominates and won't appeal to everyone, but that's precisely what makes this Littlemill so exciting. If you're looking for floral Lowlanders with character, this is it. And the finish? Endless.","Typical Littlemill character with the expected markers: floral, vegetal, almost fresh. The yellow fruits that lurk cautiously in the nose practically explode on the palate. Oily, candied, wonderful. It can be a touch too herbal compared to the fruits, but that's a matter of taste. A fine piece from a distillery that sadly no longer exists.",/whisky-reviews/littlemill-1991-2016-gordon-and-company,/api/whisky-reviews/littlemill-1991-2016-gordon-and-company,high,api_json
617,springbank-26-years-1991-2018-berry-bros-rudd,Springbank 26 Years (1991/2018) - Berry Bros. & Rudd,"Waxy and mineral, unmistakably Springbank. Chalk, sand and a hint of camphor form the foundation. Above it, a radiant citrus freshness: lemon juice, mandarin and grapefruit, plus kiwi and summer blossoms. White pepper and blossom honey add subtle accents, a tiny point of eucalyptus flashes through. No great mystery, no surprise, instead, a Springbank that delivers exactly what you'd expect from a 1991 vintage, and at a high level.","First thought: delicious. Fresh, slightly fizzy, with a pleasant tingle on the sides of the tongue that betrays the cask strength. Loads of minerality: chalk, limestone, salicylate. Then citrus fruits: lemon, orange, quince. A hint of fish smokehouse shimmers through, salt and dry herbs like thyme. Vanillin and caramel provide subtle sweetness. Always a touch of pepper. In the tail, a shadow of peat dances, ashy, slightly drying, but never intrusive. Silky and noble despite the liveliness. Leaves you wanting more.","Long and mineral. Rain on chalk, limestone and citrus fruits carry the finish. Dried herbs and a fine smoke follow, lending an earthy depth. Slightly drying but harmonious. The peat remains as a gentle shadow right to the end. Very classic, very Springbank.","A bliss of balance. This Springbank is pure distillate enjoyment. No cask pushing to the foreground, just an ex-bourbon hogshead that gives the whisky centre stage. The minerality is impressive, the citrus freshness after 26 years almost surreal. Silky, noble and with that quintessential Campbeltown character that draws you in immediately. Not a showstopper, but a whisky to savour.","Very classic and exactly what you'd expect from a Springbank of the early nineties. The nose is wonderfully citric and mineral, the palate adds a lovely creaminess, and the finish holds on with chalk and herbs for a long time. The hint of fish smokehouse and maritime peat in the background complete the picture. Not a whisky that shouts, but one that convinces with class.",/whisky-reviews/springbank-26-years-1991-2018-berry-bros-rudd,/api/whisky-reviews/springbank-26-years-1991-2018-berry-bros-rudd,high,api_json
616,bunnahabhain-31-years-1987-2019-wemyss-malts,Bunnahabhain 31 Years (1987/2019) - Wemyss Malts,"The name delivers on its promise: raisins, raisins and more raisins. Dark, ripe specimens, accompanied by heavy dark caramel and walnuts. Chocolate and dark honey lay a velvety layer on top, while sweet tobacco lurks gently in the background. Dried fruits, balanced spices and a hint of marzipan. Cognac-style rancio notes and a dusty old wine cellar betray the venerable age, along with well-worn leather and freshly split vanilla pods. Orange and ginger marmalade and warm chestnuts round out the picture. A minimal whiff of sulphur is present but nothing dramatic.","Soft and pleasant on the lips. The natural drinking strength of 44.7% is simply perfect. The mouthfeel is creamy, waxy yet full and firm. The dark raisins return, now almost black, joined by espresso and old-school sherry at its finest. Dried dates and figs, leather and a creamy sweetness from the cask. Chocolate orange biscuits, almond mousse, cardamom and cloves add spicy accents. A touch of oak balances the sweetness. Subtractive maturation has smoothed the edges, additive maturation has contributed the sherry sweetness. Perfectly balanced. Pulled from the cask at exactly the right moment.","Long, warm and wonderfully harmonious. The flavours already tasted take turns as they slowly fade. Fermented grapes lead, followed by forest berry jam, walnuts and robust oak spice. Black raisins and chocolate return, sweet tobacco and dried fruits hold on tenaciously. Nothing bitter, nothing jarring, simply round. Thanks to the residual sweetness, it remains only slightly dry right through to the end.","Would I have guessed Bunnahabhain in a blind tasting? Hard to say. This 31-year-old is so deep in sherry territory that the distillery DNA almost disappears. But that's exactly what makes it so fascinating. The balance between cask and distillate is dreamy, the natural drinking strength a blessing, and the complete absence of bitterness after 31 years in a butt borders on a small miracle. Raisin D'etre. They couldn't have named it better.","Classic old-school sherry, textbook style. Dark caramel, raisins, walnuts, it's all there, all clean, all harmonious. The finish is the cherry on top: long, complex and without a single off-note. Sure, there are more spectacular Wemyss Bunnahabhains out there, but this one simply does everything right and is a wonderful example of what 31 years of patient maturation in the right cask can achieve.",/whisky-reviews/bunnahabhain-31-years-1987-2019-wemyss-malts,/api/whisky-reviews/bunnahabhain-31-years-1987-2019-wemyss-malts,high,api_json
615,talisker-24-years-1953-gordon-macphail,Talisker 24 Years (1953) - Gordon & MacPhail,"Old sherry announces itself immediately. Ripe, purple fruit juice, wild overripe strawberries and dark raisins. Behind it, a wispy peat wind and a salty sea breeze reminiscent of the Isle of Skye. Old books, old leather and antique wooden furniture create a nostalgic atmosphere. Orange peel and chocolate orange bring a bittersweet citrus note, accompanied by soft ginger, minerals and sea salt. After the first sip, back in the nose: herbs, earth and moss, almost medicinal, like cold grass and a hint of stewed duck. An incredibly rich, multilayered bouquet where nothing fights for attention.","The entry is oily and fuller than the modest 43% would suggest. What stands out immediately is how clean this whisky tastes, a legacy of old-world distillation. Stewed red dates, herbs and a gentle peat smoke form the foundation. Then come red berry jam and ripe grapes, dunnage notes and dusty floor. Brown cake and raw cane sugar dominate the sweetness. No cream, no heaviness. Oyster shell and a subtle salinity add maritime accents. After chewing, the smoke builds slowly, lending a spicy depth to the whole experience.","This is where the old Talisker shows its true greatness. The smoke builds gradually, the flavours grow and grow. Gunsmoke and old leather, herbs and peat. Waxed wild strawberry and raspberry appear, impossibly complex. Old grease gun, salinity, black pepper and sea salt. The retronasal smokiness is impressive. A finish that refuses to end, telling stories from another time.","A whisky like a time machine. Distilled in 1953, coal-fired, with their own floor maltings – you can taste all of it. The low 43% don't hurt at all; quite the opposite: the complexity that emerges at drinking strength is remarkable. If you ever get the chance to try something like this, take it. These are moments you don't forget.","Historically fascinating, no question. The nose is glorious: old, complex and incredibly multilayered. On the palate, the only weakness: the 43% make it a touch thin and watery, but the sherry carries it confidently. And then the finish, that's where the old Talisker truly comes alive. The retronasal smoke is the highlight and shows exactly why this distillery is legendary. A piece of history in a glass that deserves to be experienced.",/whisky-reviews/talisker-24-years-1953-gordon-macphail,/api/whisky-reviews/talisker-24-years-1953-gordon-macphail,high,api_json
614,brigantia-10-years-2014-2024-chardonnay-single-cask-distillery-exclusive,Brigantia 10 Years (2014/2024) Chardonnay Single Cask Distillery Exclusive,"Oak announces itself immediately and with confidence, followed by a massive helping of red grape and raisin. Blood orange brings a tart freshness, Brazil nut an earthy depth. Yeasty notes and a tannic undertone complete the first impression. After the first sip, the surprise: intense dark caramel forces its way into the picture and transforms the bouquet entirely.","Bone-dry – there's no other way to put it. Dried fruit and a lovely sweetness push back, with apricot and plum bringing fruit depth. A hefty dose of wood suggests a small cask – but it wasn't. Dark caramel slides in and lends the flavour a spicy weight that defines this single malt's character.","Nutty, extremely nutty. The dryness returns, paired with strong tannins that hold nothing back. Black pepper and old leather emerge, alongside a touch of sour cherry that offers a fruity counterpoint right at the end. Long and powerful – this finish stays.","Definitely one of the more unusual kind – I've rarely had such a dry whisky in my glass. A touch too much oak, sure, but the aromas behind it come through surprisingly well. And here's the insider tip: try this with chocolate, dark or milk, doesn't matter. Or poured over vanilla ice cream. Trust me!","Cask hammer. Lots of cask, less whisky – which isn't necessarily a bad thing. Built hard against the wood, a fascinating contrast emerges between initial sweetness and the edge of bitterness. Intriguing and unconventional, but honestly not one to recommend to most palates.",/whisky-reviews/brigantia-10-years-2014-2024-chardonnay-single-cask-distillery-exclusive,/api/whisky-reviews/brigantia-10-years-2014-2024-chardonnay-single-cask-distillery-exclusive,high,api_json
613,brigantia-5-years-2018-2023-cognac-single-cask,Brigantia 5 Years (2018/2023) Cognac Single Cask,"A bountiful fruit basket greets with open arms: apricot and peach as dried fruits, plus a fruity-malty warmth that puts an instant smile on your face. Vanilla and a generous helping of butter biscuit round things off, while pear, white grape, and honey hum quietly in the background. No need for philosophising – just clean, intense, and simply beautiful.","Grape sugar opens proceedings, extremely delicate and with a grace that recalls the Redbreast 12 Cask Strength – high praise indeed. Already dry, but never parching. Honey sweetness and nutmeg dance arm in arm, joined by white peach in all its elegance. Wood is present, discreet and supportive. In between, a fine malt crackle that says: here speaks a classic, masterfully crafted single malt. Clean, but with character.","Properly powerful, with a grape sweetness that takes you by surprise. Extremely soft woodiness spreads out – entirely free of tannins, entirely free of bitterness, just perfectly balanced. Warming, with white pepper as a spicy accent. Remarkably long for an unpeated whisky – so long you can practically chew on the aftertaste.","What can I say – this one is fantastic! Serious power, yet balanced and delicate. Full of character, yet elegant. You can practically taste an evening stroll along Lake Constance, when the golden light falls across the water and everything just feels right. One of my absolute favourites.","Straightforward and classic in the best sense. Absolutely clean, it showcases the highlights with precision, never overwhelming. Delicate and superbly balanced – there's very little to criticise. Just missed the 90 mark as it lacks the last trace of full-bodiedness, but that really is nitpicking at the highest level.",/whisky-reviews/brigantia-5-years-2018-2023-cognac-single-cask,/api/whisky-reviews/brigantia-5-years-2018-2023-cognac-single-cask,high,api_json
609,st-kilian-sonderabfullung-ex-apricot-brandy,St. Kilian Sonderabfüllung ex Apricot Brandy,"From the very first swirl, the glass radiates a bountiful fruit basket – ripe peaches take centre stage, accompanied by a juicy orange note. Behind it, a fine honey sweetness shimmers through, lending warmth and depth to the bouquet. The apricot brandy origin of the cask makes itself subtly known, giving the whole aroma an inviting, summery-fruity quality.","Creamy-soft and pleasantly sweet, an intense apricot note glides across the tongue, directly reflecting the cask influence. Ripe raspberries join in, adding a berry-fresh dimension. The texture is velvety and engaging – proof that even with just four years of maturation, a convincing mouthfeel is well within reach.","Fresh and brief, this single malt takes its leave – herbal notes lead the way before oak and a hint of charred wood follow. A short but honest conclusion that redirects focus back to the preceding fruit aromas.",The Sonderabfüllung ex Apricot Brandy surprises with power and character without ever drifting into bitterness. The arc from sweet fruit to spicy depth is genuinely enjoyable and shows that St. Kilian can deliver with unusual casks too – a fruity moment of pleasure that leaves you wanting more.,"Bold and direct, this special edition displays a clear progression from sweetness to spice. The integration of the apricot brandy cask is well executed and free of distracting bitter notes, even if the short finish could use a touch more resonance. Technically sound, with the exotic cask influence as an intriguing point of distinction.",/whisky-reviews/st-kilian-sonderabfullung-ex-apricot-brandy,/api/whisky-reviews/st-kilian-sonderabfullung-ex-apricot-brandy,high,api_json
612,st-kilian-ex-tokaji-aszu-single-cask,St. Kilian ex Tokaji Aszú Single Cask (2019/2026),"The nose opens like a promise: fruit sweetness settles gently in the air, carried by a whisper of vinosity that recalls sun-drenched Hungarian vineyards. Blossom honey weaves a golden thread through the bouquet – warm, inviting, and with a tenderness that nearly makes you forget the heavy peat beneath.","Oily and bold, a different truth emerges: the whisky announces its presence with conviction. White pepper dances across the tongue, accompanied by a prickly, almost electric texture that keeps every sip alive. Beneath it, charred notes smoulder like the last embers of a campfire – dark, warm, and with an intensity that gets under your skin.","Voluminous and with a velvety nuttiness, the finale unfolds and lingers like a final chord in the air. Sweetness and milk chocolate melt into an afterglow of remarkable warmth – as if savouring a piece of chocolate by the fireplace while the autumn wind sweeps across the Franconian hills outside.","Not quite my world, but remarkably approachable for a peated whisky. The marriage of Tokaji sweetness and peat smoke is like an encounter between two worlds that were never meant to meet, yet harmonise surprisingly well. A glass in which Hungary and Franconia quietly tell a beautiful story together.","A well-struck balance between vinous fruit and heavy peat, where the Tokaji Aszú cask lends the smoky distillate an unexpected elegance. The bold texture and voluminous finish speak of craftsmanship coming into its own – a single cask that carries its 80 ppm with remarkable grace.",/whisky-reviews/st-kilian-ex-tokaji-aszu-single-cask,/api/whisky-reviews/st-kilian-ex-tokaji-aszu-single-cask,high,api_json
