source_id,source_name,source_type,source_url,access_method,expected_fields,direct_import_allowed,staging_allowed,full_text_allowed,metadata_only_allowed,license_review_required,tos_review_required,copyright_risk,technical_risk,recommended_usage,notes,public_source_display_allowed,public_api_source_fields_allowed,internal_audit_only
SRC_001,Whisky Advocate / Kaggle scotch reviews,KAGGLE_DATASET,https://www.kaggle.com/datasets/koki25ando/22000-scotch-whisky-reviews,KAGGLE_API,"name, category, review.point, price, currency, description",False,True,False,True,True,True,HIGH,MEDIUM,BLOCK_FULL_TEXT,Description contains copyrighted tasting notes.,false,false,true
SRC_002,koki25ando/Whisky-Data-Scraping GitHub repo,GITHUB_REPO,https://github.com/koki25ando/Whisky-Data-Scraping,RAW_CSV_DOWNLOAD,"name, category, review.point, price, currency, description",False,True,False,True,True,True,HIGH,HIGH,BLOCK_FULL_TEXT,Fragile scraping script. Same data as SRC_001.,false,false,true
SRC_003,whisky.com distilleries,EXTERNAL_SITE,https://www.whisky.com/,WEB_SCRAPING,"distillery_name, region, status",False,True,False,True,True,True,MEDIUM,HIGH,STAGING_WITH_REVIEW,Factual metadata.,false,false,true
SRC_004,iDrinkScotch distillery data,EXTERNAL_SITE,http://idrinkscotch.com/,WEB_SCRAPING,"distillery_name, location",False,True,False,True,True,True,LOW,MEDIUM,STAGING_WITH_REVIEW,Factual metadata.,false,false,true
SRC_005,iDrinkScotch independent bottlers,EXTERNAL_SITE,http://idrinkscotch.com/,WEB_SCRAPING,bottler_name,False,True,False,True,True,True,LOW,MEDIUM,STAGING_WITH_REVIEW,Factual metadata.,false,false,true
SRC_006,Whiskey Mapper,API,https://whiskeymapper.com/,API_CALL,"name, coordinates, profile",False,True,False,True,True,True,MEDIUM,LOW,BLOCK_UNTIL_LICENSE_REVIEW,API terms must be reviewed.,false,false,true
SRC_007,Master of Malt pages,ECOMMERCE,https://www.masterofmalt.com/,WEB_SCRAPING,"name, price, tasting_notes, abv",False,True,False,True,True,True,HIGH,HIGH,BLOCK_FULL_TEXT,"Tasting notes are copyrighted. Scrape strictly limited to factual metadata (ABV, price).",false,false,true
SRC_008,The Whisky Exchange pages,ECOMMERCE,https://www.thewhiskyexchange.com/,WEB_SCRAPING,"name, price, tasting_notes, abv",False,True,False,True,True,True,HIGH,HIGH,BLOCK_FULL_TEXT,Tasting notes are copyrighted. Factual data only.,false,false,true
SRC_009,Whiskybase,DATABASE,https://www.whiskybase.com/,WEB_SCRAPING,"name, rating, members_collection",False,True,False,True,True,True,HIGH,HIGH,BLOCK_UNTIL_LICENSE_REVIEW,Strong ToS restrictions likely. Need explicit permission.,false,false,true
SRC_010,User uploaded tasting documents,USER_CONTENT,INTERNAL,MANUAL_UPLOAD,"user_name, notes, rating",False,True,True,False,False,False,LOW,LOW,STAGING_WITH_REVIEW,User-generated content with implied platform license.,false,false,true
whiskyfun_raw_reviews,Whiskyfun,USER_UPLOADED_RAW,INTERNAL,MANUAL_UPLOAD,,False,True,False,True,,,HIGH,,BLOCK_FULL_TEXT,Raw reviews from user upload. Do not import full text.,false,false,true
