file_path,file_type,risk_level,useful_parts,detected_risks,decision,recommended_action,port_target,notes
CHANGELOG_FIXES.md,markdown,LOW,None,None,REJECT,File missing/not found,None,Not present in the repository
.flutter-plugins-dependencies,json,LOW,None,Machine-specific absolute paths,REJECT,Do not merge,None,Generated flutter artifact
.gitignore,config,LOW,New ignore rules,Overrides,KEEP_AND_PORT,Manually port new lines,.gitignore,Review line by line
auto_push.ps1,powershell,HIGH,None,Auto-commit and force push to main,REJECT,Do not merge,None,Dangerous CI bypass
find_dups.py,python,LOW,Translation dup checking,None,KEEP_AND_PORT,Move to scripts/qa/,scripts/qa/find_dups.py,Useful QA utility
hata_analizi.md,markdown,LOW,Test logs context,None,KEEP_DOC_ONLY,Keep for reference,None,Dynamic test report
PROJECT_STATE_CHECKPOINT.md,markdown,LOW,State reference,None,KEEP_DOC_ONLY,Keep for reference,None,Status document
README.md,markdown,LOW,None,Possible conflict with current README,HOLD_FOR_MANUAL_REVIEW,Manual diff,README.md,Requires manual merge
repair_agent.py,python,MEDIUM,Automated path fixing,Autonomous file modification and shell=True,HOLD_FOR_MANUAL_REVIEW,Review code modification logic,scripts/qa/repair_agent.py,Sandbox before use
test_agent.py,python,MEDIUM,Watchdog testing,Auto github issue creation,KEEP_AND_PORT,Disable gh issue logic,scripts/qa/test_agent.py,Useful for dev UX
