path,current_git_status,current_category,recommended_action,proposed_command,risk_level,reason,requires_manual_confirmation,safe_for_automated_cleanup
data/output/web_tasting_note_real_source_candidates.csv, M,stale_output,ARCHIVE_CANDIDATE,git restore 'data/output/web_tasting_note_real_source_candidates.csv',LOW,Stale modified output CSVs can be restored (changes discarded),False,True
data/output/web_tasting_note_real_source_manual_review.csv, M,stale_output,ARCHIVE_CANDIDATE,git restore 'data/output/web_tasting_note_real_source_manual_review.csv',LOW,Stale modified output CSVs can be restored (changes discarded),False,True
data/output/web_tasting_note_snapshots_index.csv, M,stale_output,ARCHIVE_CANDIDATE,git restore 'data/output/web_tasting_note_snapshots_index.csv',LOW,Stale modified output CSVs can be restored (changes discarded),False,True
output/reports/216_real_web_source_discovery_report.md, M,pipeline_report,ARCHIVE_CANDIDATE,git restore 'output/reports/216_real_web_source_discovery_report.md',LOW,Stale modified reports can be restored,False,True
output/reports/219_web_tasting_note_real_snapshot_report.md, M,pipeline_report,ARCHIVE_CANDIDATE,git restore 'output/reports/219_web_tasting_note_real_snapshot_report.md',LOW,Stale modified reports can be restored,False,True
check_indexes.py,??,temp_script,DELETE_CANDIDATE,rm 'check_indexes.py',LOW,Temporary diagnostic script,False,True
check_table.py,??,temp_script,DELETE_CANDIDATE,rm 'check_table.py',LOW,Temporary diagnostic script,False,True
check_whiskies.py,??,temp_script,DELETE_CANDIDATE,rm 'check_whiskies.py',LOW,Temporary diagnostic script,False,True
erseltunDocumentsmalt radar\357\200\242,??,corrupted_path,DELETE_CANDIDATE,rm -rf 'erseltunDocumentsmalt radar\357\200\242',LOW,Garbage corrupted path,False,True
frontend/lib/core/widgets/,??,frontend_source,REVIEW_REQUIRED,git add 'frontend/lib/core/widgets/' OR git checkout 'frontend/lib/core/widgets/',HIGH,Frontend logic requires manual review,True,False
frontend/lib/features/whisky/data/dto/,??,frontend_source,REVIEW_REQUIRED,git add 'frontend/lib/features/whisky/data/dto/' OR git checkout 'frontend/lib/features/whisky/data/dto/',HIGH,Frontend logic requires manual review,True,False
frontend/lib/features/whisky/data/repositories/db_whisky_repository_impl.dart,??,frontend_source,REVIEW_REQUIRED,git add 'frontend/lib/features/whisky/data/repositories/db_whisky_repository_impl.dart' OR git checkout 'frontend/lib/features/whisky/data/repositories/db_whisky_repository_impl.dart',HIGH,Frontend logic requires manual review,True,False
scripts/qa/audit_workspace_hygiene.py,??,untracked_source,KEEP_UNTRACKED_FOR_NEXT_PHASE,git add 'scripts/qa/audit_workspace_hygiene.py',LOW,Current diagnostic script,True,False
scripts/tasting_notes/apply_staging_tasting_notes.py,??,untracked_script,KEEP_UNTRACKED_FOR_NEXT_PHASE,git add 'scripts/tasting_notes/apply_staging_tasting_notes.py',LOW,Script required for 12Q/12P,True,False
scripts/tasting_notes/audit_uploaded_production_tasting_note_quality.py,??,untracked_script,ARCHIVE_CANDIDATE,mv 'scripts/tasting_notes/audit_uploaded_production_tasting_note_quality.py' data/output/archive/,LOW,Deprecated uploaded quality scripts,False,True
scripts/tasting_notes/diagnose_uploaded_notes_flavor_extraction.py,??,untracked_script,ARCHIVE_CANDIDATE,mv 'scripts/tasting_notes/diagnose_uploaded_notes_flavor_extraction.py' data/output/archive/,LOW,Deprecated uploaded quality scripts,False,True
scripts/tasting_notes/dryrun_apply_staging_tasting_notes.py,??,untracked_script,KEEP_UNTRACKED_FOR_NEXT_PHASE,git add 'scripts/tasting_notes/dryrun_apply_staging_tasting_notes.py',LOW,Script required for 12Q/12P,True,False
scripts/tasting_notes/extract_tasting_notes_from_seed_candidates.py,??,untracked_script,KEEP_UNTRACKED_FOR_NEXT_PHASE,git add 'scripts/tasting_notes/extract_tasting_notes_from_seed_candidates.py',LOW,Script required for 12Q/12P,True,False
scripts/tasting_notes/generate_flavor_profile_preview_from_uploaded_notes.py,??,untracked_script,ARCHIVE_CANDIDATE,mv 'scripts/tasting_notes/generate_flavor_profile_preview_from_uploaded_notes.py' data/output/archive/,LOW,Deprecated uploaded quality scripts,False,True
scripts/tasting_notes/recover_scotchgit_text_snapshots.py,??,untracked_script,KEEP_UNTRACKED_FOR_NEXT_PHASE,git add 'scripts/tasting_notes/recover_scotchgit_text_snapshots.py',LOW,Script required for 12Q/12P,True,False
scripts/tasting_notes/seed_existing_real_tasting_note_sources.py,??,untracked_script,KEEP_UNTRACKED_FOR_NEXT_PHASE,git add 'scripts/tasting_notes/seed_existing_real_tasting_note_sources.py',LOW,Script required for 12Q/12P,True,False
scripts/tasting_notes/validate_tasting_note_extraction_preview.py,??,untracked_script,KEEP_UNTRACKED_FOR_NEXT_PHASE,git add 'scripts/tasting_notes/validate_tasting_note_extraction_preview.py',LOW,Script required for 12Q/12P,True,False
