whisky_id,normalized_name,distillery_id,source_url,source_name,data_confidence,notes_for_review,nose_notes,palate_notes,finish_notes,aroma_tags
W000001,aberlour a'bunadh,D0001,,,medium,,"Bitter çikolata, kuru üzüm pekmezi, portakal kabuğu","Şurup gibi kalın gövde, karanfil, yoğun kuru meyve, yüksek alkol","Çok uzun, dakikalarca süren şeri ve baharat patlaması",
W000002,laphroaig the cask legacy,D0002,,,medium,,"Tentürdiyot, deniz yosunu, yanık şeker, odun kömürü","Hastanemsi iyot, karamelize koyu meyveler, deri, yoğun turba dumanı","Çok uzun, tuzlu is, ceviz, yağlanmış ahşap",
W000003,glenlivet 15yo french oak,D0003,,,medium,,"Olgun armut, krema, tarçın ve karanfil","Tereyağlı doku, Fransız meşesi baharatları, zengin meyve","Uzun, pürüzsüz ve sıcak",
W000004,talisker 10y,D0004,,,medium,,"Keskin deniz tuzu, okyanus dumanı, istiridye","Yoğun karabiber sıcaklığı, turba dumanı, yağlı doku","Çok uzun, biberli ve sıcak isli",
W000005,redbreast 12y,D0005,,,medium,,"Kompleks meyveler, fırınlanmış elma, hafif baharat","Yağlı pot still dokusu, baharat, kremsi vanilya","Çok uzun, karmaşık baharat dengesi",
W000006,aberlour casg annamh,D0001,,,medium,,"Karanfil, tarçın, kuru üzüm","Yağlı gövde, yoğun zencefil, kuru meyve, güçlü şeri baharatları","Çok uzun, ısıtıcı, meşe ve baharat",
W000007,macallan 12yo double cask,D0006,,,medium,,"Kuru meyveler, dengeli karamel, meşe","Kristal netliğinde vanilya, narenciye, zarif şeri dokunuşu","Uzun, sıcak, kuru meşe ve tatlı baharat",
W000008,aberlour 14y,D0001,,,medium,,"Siyah kiraz, böğürtlen pekmezi, olgun meşe","İpeksi doku, vanilya kreması, dengeli ve yoğun şeri tatlılığı","Uzun, kadifemsi, çok pürüzsüz",
W000009,aberlour 12y,D0001,,,medium,,"Tatlı baharatlar, kuru meyveler, elma","Dengeli pekmez, şeri yoğunluğu, hafif çikolata","Orta, şeri tatlılığı, ısıtıcı",
W000010,balvenie 14y caribbean cask,D0007,,,medium,,"Tropikal meyveler, esmer şeker, yoğun vanilya","Toffee tatlılığı, kremamsı vanilya, sıcak meşe","Uzun, sıcak, tatlı egzotik dokunuşlar",
W000011,glengoyne 12y,D0008,,,medium,,"Toffee (karamelli şekerleme), meşe, kuru elma","Kırmızı elma tatlılığı, zencefil, vanilya, sıfır is","Orta uzunlukta, baharatlı ve meyveli",
W000012,deanston 12y,D0009,,,medium,,"Bal, taze saman, narenciye kabuğu","Yağlı doku, vanilyalı puding, zencefil, tatlı meşe baharatı","Uzun, tatlı, baharatlı meşe sıcaklığı",
W000013,glenfiddich 15yo solera,D0010,,,medium,,"Koyu meyveler, heather balı, tarçın","Karamel (fudge), marzipan, zengin baharat","Orta uzunlukta, tatlı ve meşe derinliği",
W000014,glen scotia 10y,D0011,,,medium,,"Deniz meltemi, yeşil elma, hafif is","Tuzlu karamel, limon kabuğu, vanilya, hafif odun dumanı","Uzun, okyanus tuzu, baharatlı kuruluk",
W000015,bowmore 12y,D0012,,,medium,,"Deniz tuzu, tatlı odun dumanı, limon","Kremamsı vanilya, heather balı, bitter çikolata, kontrollü is","Uzun, dengeli isli ve tatlı",
W000016,glenmorangie the original 10y,D0013,,,medium,,"Narenciye, şeftali, taze vanilya çubuğu","Temiz vanilya, bal, kremamsı doku","Kısa-orta, ferahlatıcı ve meyvemsi",
W000017,glen grant 10yo,D0014,,,medium,,"Taze yeşil elma, armut, hafif çimen","Pürüzsüz vanilya, fındık, meyvemsi ferahlık","Kısa, hafif tatlı, damağı yormayan",
W000018,auchentoshan 12yo,D0015,,,medium,,"Yeşil çimen, badem, vanilya","Üçlü damıtım pürüzsüzlüğü, mandalina kabuğu, karamel","Kuru, orta uzunlukta, temiz",
W000019,auchentoshan american oak,D0015,,,medium,,"Taze vanilya, hindistan cevizi, beyaz şeftali","Pürüzsüz, narenciye, yumuşak badem, sıfır is","Kısa, çok temiz, şekerli kuruluk",
W000020,ardmore legacy,D0016,,,medium,,"Hafif şömine dumanı, tarçın, mangal kömürü","Topraksı is, bal, kurutulmuş otlar","Orta, hafif dumanlı ve sek",
W000021,chivas extra 13,D0017,,,medium,,"Olgun armut, karamel, tarçın","Tatlı kırmızı elma, sütlü çikolata, zencefil","Orta, pürüzsüz ve meyveli",
W000022,tamnavulin white wine cask,D0018,,,medium,,"Kavun, beyaz şeftali, taze limon","Yeşil elma, vanilyalı hindistan cevizi kreması, asidik ve gevrek","Kısa-orta, çok ferah ve asidik",
W000023,tamnavulin double cask,D0018,,,medium,,"Kırmızı elma, esmer şeker, karamel","Zencefil, sütlü çikolata, dengeli klasik şeri tatlılığı","Orta, sıcak, tatlı kuruluk",
W000024,monkey shoulder,D0019,,,medium,,"Zengin vanilya, portakal marmeladı, bal","Pürüzsüz maltsı tatlılık, baharatlı krema, esmer şeker","Orta, tatlı meşe, akıcı",
W000025,gladstone axe american oak,D0020,,,medium,,"Taze vanilya çubuğu, bal, esmer şeker","Yumuşak, çimensi, hafif meşe baharatı, saf vanilya","Kısa, akıcı, tatlı ve pürüzsüz",
