source,term,definition,category,url,confidence
whiskeyfyi,ABV,"Alcohol By Volume, the standard international measure of alcohol content expressed as a percentage. Most whiskey is bottled between 40% and 46% ABV, though cask strength releases can exceed 60% ABV.",Legal & Classification,,high
whiskeyfyi,Age Statement,"The number on a whisky bottle indicating the youngest spirit in the blend, expressed in years. By law, the age statement must reflect the youngest component. NAS (No Age Statement) whiskies omit this number entirely.",Scotch Whisky,,high
whiskeyfyi,Angel's Share,"The portion of whiskey that evaporates from the cask during maturation, typically 1-2% per year in Scotland and up to 4-5% in warmer climates like Kentucky. Over decades of aging, a significant volume is lost to evaporation.",Maturation & Casks,,high
whiskeyfyi,Auction Record,"The highest price achieved for a bottle of whiskey at public auction. Rare Scotch whiskies, particularly from closed distilleries, dominate record prices, with some bottles selling for millions of dollars.",Collecting & Investment,,high
whiskeyfyi,Blended Malt,"A whisky created by blending single malts from two or more distilleries, without adding grain whisky. In Japan, this practice is less common because most distilleries are owned by the same company and rarely trade casks.",Irish & Japanese,,high
whiskeyfyi,Blended Scotch,A whisky created by combining single malt whiskies from multiple distilleries with grain whisky for consistency and balance. Blended Scotch accounts for over 90% of all Scotch whisky sold worldwide.,Scotch Whisky,,high
whiskeyfyi,Blended Whiskey (US),"In the United States, a blend of at least 20% straight whiskey with neutral grain spirits or other whiskey. Not to be confused with blended Scotch, which combines malt and grain whiskies but does not include neutral spirits.",Legal & Classification,,high
whiskeyfyi,Bonded Warehouse (Irish),A government-supervised warehouse where Irish whiskey must age for at least three years in wooden casks on the island of Ireland. The bonded status ensures tax is paid only when the whiskey leaves for bottling.,Irish & Japanese,,high
whiskeyfyi,Bottle Condition,"The physical state of a collectible whiskey bottle, including fill level, label integrity, capsule condition, and overall presentation. Condition significantly affects secondary market value, with pristine bottles commanding substantial premiums.",Collecting & Investment,,high
whiskeyfyi,Bottled in Bond,"A designation under the Bottled-in-Bond Act of 1897 requiring whiskey to be the product of one distiller, one distillery, one distilling season, aged at least four years in a federally bonded warehouse, and bottled at exactly 100 proof (50% ABV).",American Whiskey,,high
whiskeyfyi,Bourbon,"An American whiskey made from a mash bill of at least 51% corn, distilled to no more than 160 proof, entered into new charred oak barrels at no more than 125 proof, and bottled at minimum 80 proof. Despite popular belief, bourbon can be made anywhere in the United States.",American Whiskey,,high
whiskeyfyi,Bourbon Trail,"The Kentucky Bourbon Trail, a tourism program featuring guided tours of major bourbon distilleries across Kentucky. Established in 1999, it now includes over 40 distilleries and attracts over 2 million visitors annually.",Culture & History,,high
