entity_type,name,abv,reasons
whisky,Aberlour A'Bunadh,40,production_collision
whisky,Laphroaig The Cask Legacy,40,production_collision
whisky,Glenlivet 15Yo French Oak,40,production_collision
whisky,Talisker 10Y,40,production_collision
whisky,Redbreast 12Y,40,production_collision
whisky,Aberlour Casg Annamh,40,production_collision
whisky,Macallan 12Yo Double Cask,40,production_collision
whisky,Aberlour 14Y,40,production_collision
whisky,Aberlour 12Y,40,production_collision
whisky,Balvenie 14Y Caribbean Cask,40,production_collision
whisky,Glengoyne 12Y,40,production_collision
whisky,Deanston 12Y,40,production_collision
whisky,Glenfiddich 15Yo Solera,40,production_collision
whisky,Glen Scotia 10Y,40,production_collision
whisky,Bowmore 12Y,40,production_collision
whisky,Glenmorangie The Original 10Y,40,production_collision
whisky,Glen Grant 10Yo,40,production_collision
whisky,Auchentoshan 12Yo,40,production_collision
whisky,Auchentoshan American Oak,40,production_collision
whisky,Ardmore Legacy,40,production_collision
whisky,Chivas Extra 13,40,production_collision
whisky,Tamnavulin White Wine Cask,40,production_collision
whisky,Tamnavulin Double Cask,40,production_collision
whisky,Monkey Shoulder,40,production_collision
whisky,Gladstone Axe American Oak,40,production_collision
whisky,"Laphroaig 27Yo 57.4% 1980-2007 (Ob, 5 Oloroso Casks, 972 Bts)",40,production_collision
whisky,Amrut Spectrum (Batch 1),40,production_collision
whisky,Glengoyne 25Yo,40,production_collision
whisky,Kavalan Solist Oloroso Sherry Cask,40,production_collision
whisky,Aberlour A'Bunadh (Batch 33),40,production_collision
whisky,Aberlour A'Bunadh (Batch 37),40,production_collision
whisky,Laphroaig 25Yo,40,production_collision
whisky,Aberlour A'Bunadh (Batch 40),40,production_collision
whisky,Yamazaki 18Yo,40,production_collision
whisky,Aberlour A'Bunadh (Batch 49),40,production_collision
whisky,Yamazaki Sherry Cask (All Vintages),40,production_collision
whisky,Aberlour A'Bunadh (Batch 56),40,production_collision
whisky,Compass Box Last Vatted Malt,40,production_collision
whisky,Amrut Greedy Angels (8Yo And 10Yo),40,production_collision
whisky,Amrut Spectrum (All Batches),40,production_collision
whisky,Bowmore Springtide,40,production_collision
whisky,Kavalan Solist Vinho Barrique,40,production_collision
whisky,Aberlour A'Bunadh (Batch 53),40,production_collision
whisky,Aberlour A'Bunadh (Batch 39),40,production_collision
whisky,Karuizawa 1990 Sherry Butt,40,production_collision
whisky,Kavalan Solist Px Cask,40,production_collision
whisky,Amrut Spectrum 004 (Batch 2),40,production_collision
whisky,Kavalan Solist Manzanilla Cask,40,production_collision
whisky,Aberlour A'Bunadh (Batch 44),40,production_collision
whisky,Aberlour A'Bunadh (Batch 52),40,production_collision
whisky,Kavalan Solist Amontillado Cask,40,production_collision
whisky,Aberlour A'Bunadh (Batch 35),40,production_collision
whisky,Aberlour A'Bunadh (Batch 45),40,production_collision
whisky,Laphroaig Cairdeas 2013 Port Wood,40,production_collision
whisky,Amrut Px Sherry Single Cask 2696 (Lcbo),40,production_collision
whisky,Aberlour A'Bunadh (Batch 36),40,production_collision
whisky,Amrut Portonova,40,production_collision
whisky,Bowmore 15Yo Laimrig,40,production_collision
whisky,Bushmills 21Yo Single Malt,40,production_collision
whisky,Aberlour A'Bunadh (Batch 30),40,production_collision
