path,git_status,file_type,size_bytes,last_modified,category,recommended_action,reason,safe_to_delete,safe_to_archive,should_commit_now
data/output/web_tasting_note_real_source_candidates.csv, M,file,8462,2026-06-21T16:10:43.771675,stale_output,ARCHIVE_CANDIDATE,"Modified pipeline output, should be archived",False,True,False
data/output/web_tasting_note_real_source_manual_review.csv, M,file,10932,2026-06-21T16:10:43.772676,stale_output,ARCHIVE_CANDIDATE,"Modified pipeline output, should be archived",False,True,False
data/output/web_tasting_note_snapshots_index.csv, M,file,6905,2026-06-21T16:11:24.944531,stale_output,ARCHIVE_CANDIDATE,"Modified pipeline output, should be archived",False,True,False
output/reports/216_real_web_source_discovery_report.md, M,file,167,2026-06-21T16:10:43.772676,pipeline_report,KEEP_TRACKED_NOW,Pipeline reports should generally be committed,False,False,True
output/reports/219_web_tasting_note_real_snapshot_report.md, M,file,121,2026-06-21T16:11:24.944531,pipeline_report,KEEP_TRACKED_NOW,Pipeline reports should generally be committed,False,False,True
check_indexes.py,??,file,212,2026-06-21T15:39:21.842932,temp_script,DELETE_CANDIDATE,Temporary diagnostic scripts,True,False,False
check_table.py,??,file,258,2026-06-21T15:38:18.719948,temp_script,DELETE_CANDIDATE,Temporary diagnostic scripts,True,False,False
check_whiskies.py,??,file,222,2026-06-21T15:38:59.479226,temp_script,DELETE_CANDIDATE,Temporary diagnostic scripts,True,False,False
erseltunDocumentsmalt radar\357\200\242,??,file,0,N/A,corrupted_path,DELETE_CANDIDATE,Garbage/corrupted path artifact,True,False,False
frontend/lib/core/widgets/,??,dir,0,2026-06-21T15:12:06.977394,frontend_source,REVIEW_REQUIRED,Frontend files should be reviewed before automated clean,False,False,False
frontend/lib/features/whisky/data/dto/,??,dir,0,2026-06-21T15:16:46.820127,frontend_source,REVIEW_REQUIRED,Frontend files should be reviewed before automated clean,False,False,False
frontend/lib/features/whisky/data/repositories/db_whisky_repository_impl.dart,??,file,2445,2026-06-21T15:16:47.559748,frontend_source,REVIEW_REQUIRED,Frontend files should be reviewed before automated clean,False,False,False
scripts/qa/audit_workspace_hygiene.py,??,file,9154,2026-06-21T16:19:25.534502,untracked_source,REVIEW_REQUIRED,Unclassified untracked file,False,False,False
scripts/tasting_notes/apply_staging_tasting_notes.py,??,file,7984,2026-06-21T15:41:43.783391,untracked_script,KEEP_UNTRACKED_FOR_NEXT_PHASE,Active pipeline scripts waiting to be reviewed/committed,False,False,False
scripts/tasting_notes/audit_uploaded_production_tasting_note_quality.py,??,file,8665,2026-06-21T16:04:58.380885,untracked_script,KEEP_UNTRACKED_FOR_NEXT_PHASE,Active pipeline scripts waiting to be reviewed/committed,False,False,False
scripts/tasting_notes/diagnose_uploaded_notes_flavor_extraction.py,??,file,8129,2026-06-21T16:03:27.253795,untracked_script,KEEP_UNTRACKED_FOR_NEXT_PHASE,Active pipeline scripts waiting to be reviewed/committed,False,False,False
scripts/tasting_notes/dryrun_apply_staging_tasting_notes.py,??,file,5201,2026-06-21T15:39:37.428631,untracked_script,KEEP_UNTRACKED_FOR_NEXT_PHASE,Active pipeline scripts waiting to be reviewed/committed,False,False,False
scripts/tasting_notes/extract_tasting_notes_from_seed_candidates.py,??,file,9396,2026-06-21T15:31:43.340375,untracked_script,KEEP_UNTRACKED_FOR_NEXT_PHASE,Active pipeline scripts waiting to be reviewed/committed,False,False,False
scripts/tasting_notes/generate_flavor_profile_preview_from_uploaded_notes.py,??,file,10494,2026-06-21T15:53:14.465308,untracked_script,KEEP_UNTRACKED_FOR_NEXT_PHASE,Active pipeline scripts waiting to be reviewed/committed,False,False,False
scripts/tasting_notes/recover_scotchgit_text_snapshots.py,??,file,11505,2026-06-21T15:23:44.817851,untracked_script,KEEP_UNTRACKED_FOR_NEXT_PHASE,Active pipeline scripts waiting to be reviewed/committed,False,False,False
scripts/tasting_notes/seed_existing_real_tasting_note_sources.py,??,file,11141,2026-06-21T15:27:23.126725,untracked_script,KEEP_UNTRACKED_FOR_NEXT_PHASE,Active pipeline scripts waiting to be reviewed/committed,False,False,False
scripts/tasting_notes/validate_tasting_note_extraction_preview.py,??,file,9221,2026-06-21T15:33:25.425001,untracked_script,KEEP_UNTRACKED_FOR_NEXT_PHASE,Active pipeline scripts waiting to be reviewed/committed,False,False,False
