old_whisky_id,whisky_name,bottle_name,best_score,db_record_id,db_name
W000441,amrut fusion,Amrut Fusion,100,WDB-00441,Amrut Fusion
W000117,amrut kadhambam,Amrut Kadhambam,100,WDB-00117,Amrut Kadhambam
W000089,amrut portonova,Amrut Portonova,100,WDB-00089,Amrut Portonova
W000822,amrut indian single malt,Amrut Single Malt Whisky,100,WDB-00822,Amrut Indian Single Malt
W001151,ancnoc rutter,AnCnoc Rutter,100,WDB-01151,AnCnoc Rutter
W001654,angel's envy cask strength,Angel's Envy Cask Strength,100,WDB-01654,Angel's Envy Cask Strength
W001112,ardbeg alligator,Ardbeg Alligator,100,WDB-01112,Ardbeg Alligator
W001116,ardbeg ardbog,Ardbeg Ardbog,100,WDB-01116,Ardbeg Ardbog
W001164,ardbeg auriverdes,Ardbeg Auriverdes,100,WDB-01164,Ardbeg Auriverdes
W001109,ardbeg corryvreckan,Ardbeg Corryvreckan,100,WDB-01109,Ardbeg Corryvreckan
W001148,ardbeg dark cove,Ardbeg Day,100,WDB-01148,Ardbeg Dark Cove
W000251,ardbeg galileo,Ardbeg Galileo,100,WDB-00251,Ardbeg Galileo
W001095,ardbeg uigeadail,Ardbeg Uigeadail,100,WDB-01095,Ardbeg Uigeadail
W000196,arran malt amarone cask finish,Arran Amarone Cask Finish,100,WDB-00196,Arran Malt Amarone Cask Finish
W000267,arran malt port cask finish,Arran Port Cask Finish,100,WDB-00267,Arran Malt Port Cask Finish
W000316,arran malt sherry single cask,Arran Sherry Single Cask,100,WDB-00316,Arran Malt Sherry Single Cask
W000019,auchentoshan american oak,Auchentoshan American Oak,100,WDB-00019,Auchentoshan American Oak
W000886,auchentoshan classic,Auchentoshan Classic,100,WDB-00886,Auchentoshan Classic
W000370,auchentoshan three wood,Auchentoshan Three Wood,100,WDB-00370,Auchentoshan Three Wood
W000815,auchentoshan valinch,Auchentoshan Valinch,100,WDB-00815,Auchentoshan Valinch
W001786,balcones baby blue,Balcones Baby Blue,100,WDB-01786,Balcones Baby Blue
W000530,balcones texas single malt whisky,Balcones Texas Single Malt,100,WDB-00530,Balcones Texas Single Malt Whisky
W001351,ballantine's finest,Ballantine's Finest,100,WDB-01351,Ballantine's Finest
W000791,benromach traditional,Benromach Traditional,100,WDB-00791,Benromach Traditional
W001331,famous grouse smoky black (black grouse),Black Grouse,100,WDB-01331,Famous Grouse Smoky Black (Black Grouse)
W001090,bowmore legend,Bowmore Legend,100,WDB-01090,Bowmore Legend
W001019,bruichladdich islay barley (all vintages),Bruichladdich Islay Barley 2006,100,WDB-01019,Bruichladdich Islay Barley (all vintages)
W000992,bruichladdich port charlotte an turas mor,Bruichladdich Port Charlotte An Turas Mor,100,WDB-00992,Bruichladdich Port Charlotte An Turas Mor
W001218,bruichladdich port charlotte the peat project,Bruichladdich Port Charlotte The Peat Project,100,WDB-01218,Bruichladdich Port Charlotte The Peat Project
W000940,bruichladdich port charlotte pc10 tro na linntean,Bruichladdich Port Charlotte Tro Na Linntean,100,WDB-00940,Bruichladdich Port Charlotte PC10 Tro Na Linntean
W000346,bruichladdich rocks,Bruichladdich Rocks,100,WDB-00346,Bruichladdich Rocks
W001520,bulleit rye,Bulleit Rye,100,WDB-01520,Bulleit Rye
W000353,bushmills black bush,Bushmills Black Bush,100,WDB-00353,Bushmills Black Bush
W001347,bushmills original blended,Bushmills Original,100,WDB-01347,Bushmills Original Blended
W001204,caol ila distiller's edition (all editions),Caol Ila Distiller's Edition,100,WDB-01204,Caol Ila Distiller's Edition (all editions)
W001669,colonel e.h. taylor single barrel,Colonel E.H. Taylor Single Barrel,100,WDB-01669,Colonel E.H. Taylor Single Barrel
W001707,colonel e.h. taylor small batch (bib),Colonel E.H. Taylor Small Batch,100,WDB-01707,Colonel E.H. Taylor Small Batch (BiB)
W001462,colonel e.h. taylor straight rye,Colonel E.H. Taylor Straight Rye,100,WDB-01462,Colonel E.H. Taylor Straight Rye
W001300,compass box asyla,Compass Box Asyla,100,WDB-01300,Compass Box Asyla
W001257,compass box great king st artist's blend,Compass Box Great King St. Artist's Blend,100,WDB-01257,Compass Box Great King St Artist's Blend
W000544,compass box oak cross,Compass Box Oak Cross,100,WDB-00544,Compass Box Oak Cross
W001081,connemara peated single malt,Connemara Peated,100,WDB-01081,Connemara Peated Single Malt
W000360,dalmore king alexander iii,Dalmore 1263 King Alexander III,100,WDB-00360,Dalmore King Alexander III
W000866,deanston virgin oak,Deanston Virgin Oak,100,WDB-00866,Deanston Virgin Oak
W001358,dewar's white label,Dewar's White Label,100,WDB-01358,Dewar's White Label
W001808,evan williams (black label),Evan Williams Black Label,100,WDB-01808,Evan Williams (Black Label)
W001221,finlaggan old reserve,Finlaggan Old Reserve,100,WDB-01221,Finlaggan Old Reserve
W001537,forty creek barrel select,Forty Creek Barrel Select,100,WDB-01537,Forty Creek Barrel Select
W001484,forty creek copper pot reserve,Forty Creek Copper Pot Reserve,100,WDB-01484,Forty Creek Copper Pot Reserve
W001814,jack daniel's gentleman jack,Gentleman Jack,100,WDB-01814,Jack Daniel's Gentleman Jack
W000797,glen garioch founder's reserve,Glen Garioch Founder's Reserve,100,WDB-00797,Glen Garioch Founder's Reserve
W000172,glenfiddich snow phoenix,Glenfiddich Snow Phoenix,100,WDB-00172,Glenfiddich Snow Phoenix
W000459,glenmorangie astar,Glenmorangie Astar,100,WDB-00459,Glenmorangie Astar
