source_name,source_file,candidate_type,candidate_name,related_whisky_id,related_entity_name,issue_type,reason,suggested_action,approval_status
Whisky Edition,25_manual_review_5_detailed_audit.csv,Whisky Product Match,,,,Ambiguous Match,,MERGE_OR_CREATE,pending_review
Whisky Edition,25_manual_review_5_detailed_audit.csv,Whisky Product Match,,,,Ambiguous Match,,MERGE_OR_CREATE,pending_review
Whisky Edition,25_manual_review_5_detailed_audit.csv,Whisky Product Match,,,,Ambiguous Match,,MERGE_OR_CREATE,pending_review
Whisky Edition,25_manual_review_5_detailed_audit.csv,Whisky Product Match,,,,Ambiguous Match,,MERGE_OR_CREATE,pending_review
Whisky Edition,25_manual_review_5_detailed_audit.csv,Whisky Product Match,,,,Ambiguous Match,,MERGE_OR_CREATE,pending_review
The Malt List,07_reconciled_manual_review_price_candidates.csv,Historical Price Match,Ardbeg,W000251,ardbeg galileo,Ambiguous Price Match,Risk Level: HIGH,MERGE_OR_DISCARD,pending_review
The Malt List,07_reconciled_manual_review_price_candidates.csv,Historical Price Match,Arran,W000078,arran malt 21st anniversary edition,Ambiguous Price Match,Risk Level: HIGH,MERGE_OR_DISCARD,pending_review
The Malt List,07_reconciled_manual_review_price_candidates.csv,Historical Price Match,Auchentoshan,W000018,auchentoshan 12yo,Ambiguous Price Match,Risk Level: HIGH,MERGE_OR_DISCARD,pending_review
The Malt List,07_reconciled_manual_review_price_candidates.csv,Historical Price Match,Auchentoshan,W000018,auchentoshan 12yo,Ambiguous Price Match,Risk Level: HIGH,MERGE_OR_DISCARD,pending_review
The Malt List,07_reconciled_manual_review_price_candidates.csv,Historical Price Match,Auchentoshan,W000018,auchentoshan 12yo,Ambiguous Price Match,Risk Level: HIGH,MERGE_OR_DISCARD,pending_review
The Malt List,07_reconciled_manual_review_price_candidates.csv,Historical Price Match,Aultmore,W000427,aultmore 25yo,Ambiguous Price Match,Risk Level: HIGH,MERGE_OR_DISCARD,pending_review
The Malt List,07_reconciled_manual_review_price_candidates.csv,Historical Price Match,Ardmore,W000020,ardmore legacy,Ambiguous Price Match,Risk Level: HIGH,MERGE_OR_DISCARD,pending_review
The Malt List,07_reconciled_manual_review_price_candidates.csv,Historical Price Match,Balblair,W000146,balblair 1990 (all releases),Ambiguous Price Match,Risk Level: HIGH,MERGE_OR_DISCARD,pending_review
The Malt List,07_reconciled_manual_review_price_candidates.csv,Historical Price Match,Balvenie,W000010,balvenie 14y caribbean cask,Ambiguous Price Match,Risk Level: HIGH,MERGE_OR_DISCARD,pending_review
The Malt List,07_reconciled_manual_review_price_candidates.csv,Historical Price Match,Ben Nevis,W000132,ben nevis 10yo (post-2017),Ambiguous Price Match,Risk Level: HIGH,MERGE_OR_DISCARD,pending_review
The Malt List,07_reconciled_manual_review_price_candidates.csv,Historical Price Match,Benromach,W000074,benromach 10yo cask strength (100 proof),Ambiguous Price Match,Risk Level: HIGH,MERGE_OR_DISCARD,pending_review
The Malt List,07_reconciled_manual_review_price_candidates.csv,Historical Price Match,Bladnoch,W000082,bladnoch 12yo sherry cask (sheep label),Ambiguous Price Match,Risk Level: HIGH,MERGE_OR_DISCARD,pending_review
The Malt List,07_reconciled_manual_review_price_candidates.csv,Historical Price Match,Bladnoch,W000082,bladnoch 12yo sherry cask (sheep label),Ambiguous Price Match,Risk Level: HIGH,MERGE_OR_DISCARD,pending_review
The Malt List,07_reconciled_manual_review_price_candidates.csv,Historical Price Match,Bowmore,W000015,bowmore 12y,Ambiguous Price Match,Risk Level: HIGH,MERGE_OR_DISCARD,pending_review
The Malt List,07_reconciled_manual_review_price_candidates.csv,Historical Price Match,Bowmore,W000015,bowmore 12y,Ambiguous Price Match,Risk Level: HIGH,MERGE_OR_DISCARD,pending_review
The Malt List,07_reconciled_manual_review_price_candidates.csv,Historical Price Match,Brora,W001092,brora 35yo,Ambiguous Price Match,Risk Level: HIGH,MERGE_OR_DISCARD,pending_review
The Malt List,07_reconciled_manual_review_price_candidates.csv,Historical Price Match,Bruichladdich,W000964,bruichladdich port charlotte pc12 oileanach furachail,Ambiguous Price Match,Risk Level: HIGH,MERGE_OR_DISCARD,pending_review
The Malt List,07_reconciled_manual_review_price_candidates.csv,Historical Price Match,Bruichladdich Octomore 06.1,W001172,bruichladdich octomore 6.1,Ambiguous Price Match,Risk Level: HIGH,MERGE_OR_DISCARD,pending_review
The Malt List,07_reconciled_manual_review_price_candidates.csv,Historical Price Match,Caol Ila,W000445,caol ila 18yo unpeated 2017,Ambiguous Price Match,Risk Level: HIGH,MERGE_OR_DISCARD,pending_review
The Malt List,07_reconciled_manual_review_price_candidates.csv,Historical Price Match,Cardhu,W000868,cardhu amber rock,Ambiguous Price Match,Risk Level: HIGH,MERGE_OR_DISCARD,pending_review
The Malt List,07_reconciled_manual_review_price_candidates.csv,Historical Price Match,Cardhu,W000868,cardhu amber rock,Ambiguous Price Match,Risk Level: HIGH,MERGE_OR_DISCARD,pending_review
