source_key,display_name,authority_tier,trust_score,field_coverage,update_frequency,geographical_coverage,historical_depth,structured_data_availability,extraction_difficulty,robots_licensing,recommended_usage,rationale
official_distillery,Official Distillery Websites,T1_primary,0.95,"distillery,region,country,abv,cask_type,age,bottler,limited_release,image(tasting:Kısmi)",varies by brand,global per brand,medium (current site only),partial (often Product/JSON-LD),"medium (JS-heavy,per-brand)",usually allowed;copyright on images,primary,T1: producer is single source of truth for identity + official bottling specs. ABV must use strip-% cast (P53/P54).
scotch_whisky_association,Scotch Whisky Association,T1_primary,0.92,"region,country,regulatory_definitions,distillery(Kısmi)",periodic,Scotland/UK,low (current regs),low (static pages),low (static HTML),official;quote-with-attribution,primary (regulatory),T1 for geographical/legal definitions of Scotch whisky. No subjective fields.
world_atlas_whisky,World Atlas of Whisky (Dave Broom),T1_primary,0.90,"distillery,region,country,flavor_profile,tasting_notes,history,age(Kısmi),cask(Kısmi)",static (book edition),global,high (historical reference),n/a (print/PDF),n/a (manual/verification),copyright;use as reference not scrape,primary (reference),T1 authoritative reference for identity + canonical flavor education. Not crawlable; manual verification only.
michael_jackson_guide,Michael Jackson Complete Guide,T1_primary,0.90,"distillery,region,country,flavor_profile,tasting_notes,history,age(Kısmi)",static (book edition),global,high,n/a (print),n/a (manual/verification),copyright;use as reference,primary (reference),T1 authoritative reference; cross-validates identity + flavor taxonomy. Manual verification only.
dave_broom,Dave Broom sources (books/articles),T1_primary,0.90,"distillery,region,flavor_profile,tasting_notes,cask(Kısmi)",static/periodic,global,high,n/a (print),n/a (manual/verification),copyright;use as reference,primary (reference),T1 reference author; overlaps World Atlas. Manual verification only.
whiskyfun,WhiskyFun (Serge Valentin),T2_secondary,0.88,"tasting_notes,flavor_profile,score,abv(Kısmi),age(Kısmi),cask(Kısmi),limited_release(Kısmi)",frequent (blog + archive),global,high (deep archive),low (blog HTML),medium (section markers),blog ToS;personal use,secondary (sensory),"T2 expert: authoritative for sensory + score. Identity fields are named, not certifying (T1 ceiling). Already profiled in sources/whiskyfun."
whisky_advocate,Whisky Advocate,T2_secondary,0.85,"tasting_notes,score,flavor(Kısmi),abv(Kısmi),age(Kısmi),awards(Tam)",frequent,global,medium,medium (reviews + lists),medium,copyright;subscription some content,secondary (sensory+awards),T2 expert reviews + annual awards lists. Good for awards field.
whiskybase,Whiskybase,T2_secondary,0.82,"abv,age,cask_type,bottler,distillery,region,country,image(Kısmi),limited_release,flavor(Kısmi),tasting(Kısmi)",continuous (community DB),global,high (large history),high (structured DB/API-like),low,API/ToS;attribution;no bulk redist,secondary + verification,T2 highly structured DB. Reliable for identity specs (cross-validated by users) = verification-grade; subjective fields lower trust.
master_of_malt,Master of Malt,T2_secondary,0.80,"abv,age,cask_type,bottler,price,image,tasting_notes,limited_release,distillery(Kısmi)",continuous (retailer),global,medium,high (Product JSON-LD),low,retailer ToS;price not for UI (Malt Radar product rule),secondary (specs+retail),T2 retailer: strong structured specs + editorial tasting. Commercial bias; price excluded per product rule.
the_whisky_exchange,The Whisky Exchange,T2_secondary,0.80,"abv,age,cask_type,bottler,price,image,tasting_notes,limited_release,distillery(Kısmi)",continuous (retailer),global,medium,high (Product JSON-LD),low,retailer ToS;price not for UI,secondary (specs+retail),T2 retailer: same profile as Master of Malt. Commercial bias; price excluded per product rule.
distiller_mags,Distiller magazines / official publications,T2_secondary,0.78,"tasting_notes,awards,articles,flavor(Kısmi),abv(Kısmi),limited_release(Kısmi)",periodic,global,medium,low-medium,medium,copyright;attribution,secondary (tasting+awards),T2 editorial: awards + tasting coverage. Verification for specs only.
whisky_auctioneer,Whisky Auctioneer,T3_verification,0.70,"abv,age,cask_type,bottler,price_realized,image,limited_release,tasting(Kısmi)",continuous (lots),global,medium (archived lots),medium (lot pages),medium,auction ToS;lot image copyright,verification only,T3: auction lot descriptions verify specs (ABV/age/cask/bottler) against primary. Not authoritative; price excluded.
wayback_machine,Wayback Machine (archive.org),T3_verification,0.75,archival proxy of any source (all fields Kısmi),archival (on-demand),global,very high (historical captures),n/a (CDX API),medium (CDX/timestamp),archive.org ToS;respect original robots,verification only,T3: verifies/snapshots other sources when live pages change or disappear. Never original content authority.
