id,slug,lang,name,description,url,pdf,published_at,authors,type,country,region,distillery,bottler,age,abv,price_per_liter,flavour,rating_marcel,rating_sascha,rating_value_for_money
620,nc-nean-huntress-malted-teacake-2017-2026,en,Nc'Nean Huntress Malted Teacake (2017/2026),"With its Huntress Series, the sustainable Highland distillery Nc'Nean keeps putting a single building block of its production into the spotlight. For the Malted Teacake it's the yeast – a strain borrowed from brewing Belgian-style malty ales that gives this whisky its buttery, malty signature. Maturation from 2017 to 2022 in STR Red Wine, Bourbon and Oloroso casks, bottled in January 2026 at 48.5 % ABV.",/whisky-reviews/nc-nean-huntress-malted-teacake-2017-2026,/exports/pdf/nc-nean-huntress-malted-teacake-2017-2026.pdf,2026-05-08T08:00:00+00:00,"[""Marcel"", ""Sascha""]",Single Malt,Scotland,Highlands,Nc'Nean,,0,48.5,135.7,mellow,80,82,2
619,dalmore-2007-2017-10-years-a-d-rattray,en,Dalmore 10 Years (2007/2017) - A.D. Rattray,"Independent bottler, single cask, bourbon hogshead with a PX sherry finish: a combination that promises everything on paper. The nose delivers on that promise, but on the palate the fruit gets lost somewhere between wood, spice, and bitterness. A Dalmore off the main roster that polarises more than it convinces.",/whisky-reviews/dalmore-2007-2017-10-years-a-d-rattray,/exports/pdf/dalmore-2007-2017-10-years-a-d-rattray.pdf,2026-04-18T12:00:00+00:00,"[""Marcel"", ""Sascha""]",Single Malt,Scotland,Highlands,Dalmore,A.D. Rattray,10,55.6,98.57,spicy,72,78,3
618,littlemill-1991-2016-gordon-and-company,en,Littlemill (1991/2016) - Gordon & Company,"A Littlemill from January 1991, matured for 25 years in cask no. 113 and bottled in June 2016 by Gordon & Company in their Pearls of Scotland range at a robust 52.8%, limited to just 248 bottles. A closed distillery, a single cask, a quarter-century of patience. What lands in the glass is floral Lowland artistry with an herbal soul and more power than you'd ever expect from a Littlemill.",/whisky-reviews/littlemill-1991-2016-gordon-and-company,/exports/pdf/littlemill-1991-2016-gordon-and-company.pdf,2026-04-16T12:00:00+00:00,"[""Marcel"", ""Sascha""]",Single Malt,Scotland,Lowlands,Littlemill,Gordon & Company,25,52.8,714.6,floral,89,88,0
617,springbank-26-years-1991-2018-berry-bros-rudd,en,Springbank 26 Years (1991/2018) - Berry Bros. & Rudd,"A 26-year-old Springbank from the 1991 vintage, matured in an ex-bourbon hogshead (cask 455) and bottled in 2018 by Berry Bros. & Rudd at natural cask strength of 44.9%. No sherry, no fireworks, just pure distillate character from Campbeltown, mineral, waxy and with a citrus freshness that's almost impudently well-preserved after 26 years in oak.",/whisky-reviews/springbank-26-years-1991-2018-berry-bros-rudd,/exports/pdf/springbank-26-years-1991-2018-berry-bros-rudd.pdf,2026-04-15T12:00:00+00:00,"[""Marcel"", ""Sascha""]",Single Malt,Scotland,Campbeltown,Springbank,Berry Bros. & Rudd,26,44.9,625.71,delicate,87,88,0
616,bunnahabhain-31-years-1987-2019-wemyss-malts,en,Bunnahabhain 31 Years (1987/2019) - Wemyss Malts,"Raisin D'etre: the name says it all. Thirty-one years in a sherry butt have turned this 1987-vintage Bunnahabhain into a raisin dream, bottled by Wemyss Malts in 2019 in a limited run of 568 bottles. Natural drinking strength of 44.7%, no bitterness, no tannin escapades. Just perfectly balanced maturation where subtractive and additive processes work in harmony.",/whisky-reviews/bunnahabhain-31-years-1987-2019-wemyss-malts,/exports/pdf/bunnahabhain-31-years-1987-2019-wemyss-malts.pdf,2026-04-14T12:00:00+00:00,"[""Marcel"", ""Sascha""]",Single Malt,Scotland,Islay,Bunnahabhain,Wemyss Malts,31,44.7,570,rich,89,89,0
615,talisker-24-years-1953-gordon-macphail,en,Talisker 24 Years (1953) - Gordon & MacPhail,"Distilled in 1953 at the old, coal-fired Talisker distillery – seven years before a devastating fire destroyed it in 1960. Back then, they still used their own floor maltings, which weren't retired until 1972. Gordon & MacPhail bottled this 24-year-old from a sherry cask as part of their Connoisseurs Choice range, and what lands in the glass is more than a whisky. It's a window into a bygone era of Scottish whisky production.",/whisky-reviews/talisker-24-years-1953-gordon-macphail,/exports/pdf/talisker-24-years-1953-gordon-macphail.pdf,2026-04-13T12:00:00+00:00,"[""Marcel"", ""Sascha""]",Single Malt,Scotland,Isle of Skye,Talisker,Gordon & MacPhail,24,43,4825,spicy,91,89,0
614,brigantia-10-years-2014-2024-chardonnay-single-cask-distillery-exclusive,en,Brigantia 10 Years (2014/2024) Chardonnay Single Cask Distillery Exclusive,"Ten years in a chardonnay cask and exclusively available at the Steinhauser distillery – you know what to expect. Or rather, you don't. This Brigantia Distillery Exclusive pulls no punches with its oak and delivers a single malt that has made dryness and character its guiding principles.",/whisky-reviews/brigantia-10-years-2014-2024-chardonnay-single-cask-distillery-exclusive,/exports/pdf/brigantia-10-years-2014-2024-chardonnay-single-cask-distillery-exclusive.pdf,2026-04-12T12:00:00+00:00,"[""Marcel"", ""Sascha""]",Single Malt,Germany,,Steinhauser,,10,53.2,155.71,rich,84,80,3
613,brigantia-5-years-2018-2023-cognac-single-cask,en,Brigantia 5 Years (2018/2023) Cognac Single Cask,What a find! From the Steinhauser distillery on the shores of Lake Constance comes this single cask bottling that spent five years in a cognac cask – and clearly thrived in it. Cask no. 910 delivers a single malt at 58% ABV that instantly lifts the spirits with its blend of power and elegance.,/whisky-reviews/brigantia-5-years-2018-2023-cognac-single-cask,/exports/pdf/brigantia-5-years-2018-2023-cognac-single-cask.pdf,2026-04-12T12:00:00+00:00,"[""Marcel"", ""Sascha""]",Single Malt,Germany,,Steinhauser,,5,58,99,mellow,90,89,5
609,st-kilian-sonderabfullung-ex-apricot-brandy,en,St. Kilian Sonderabfüllung ex Apricot Brandy,"When St. Kilian meets Turkish apricot brandy, you get a special edition that sparks curiosity. This single cask bottling spent four years in a French oak barrique previously used for Turkish apricot brandy – an unusual cask that lends the young single malt a distinctly fruit-forward character.",/whisky-reviews/st-kilian-sonderabfullung-ex-apricot-brandy,/exports/pdf/st-kilian-sonderabfullung-ex-apricot-brandy.pdf,2026-04-11T12:00:00+00:00,"[""Marcel"", ""Sascha""]",Single Malt,Germany,,St. Kilian,,4,50.7,139.8,mellow,79,79,2
612,st-kilian-ex-tokaji-aszu-single-cask,en,St. Kilian ex Tokaji Aszú Single Cask (2019/2026),"There are whiskies you drink – and whiskies you experience. The St. Kilian ex Tokaji Aszú Single Cask belongs to the latter. Matured in a Hungarian noble wine cask that once cradled the golden nectar of Tokaj, this heavily peated single malt weaves the smoky soul of Franconia together with the sweet poetry of the Hungarian wine country.",/whisky-reviews/st-kilian-ex-tokaji-aszu-single-cask,/exports/pdf/st-kilian-ex-tokaji-aszu-single-cask.pdf,2026-04-11T12:00:00+00:00,"[""Marcel"", ""Sascha""]",Single Malt,Germany,,St. Kilian,,6,58.8,139.8,peaty,84,84,3
