whisky_id,whisky_name,distillery_name,age,query,source_url,source_domain,url_type,decision,reject_reason
W000978,port ellen douglas laing mcgibbon's provenance john milroy 23yo (all editions),,23.0,port ellen douglas laing mcgibbon's provenance john milroy 23yo (all editions) tasting notes review,https://www.whiskynotes.be/search/port-ellen-douglas-laing-mcgibbon's-provenance-john-milroy-23yo-(all-editions)-tasting-notes-review,www.whiskynotes.be,search_page,rejected_search_page,
W000524,"bruichladdich the organic (mid coul, coulmore, mains of tullibardine farms)",,,"bruichladdich the organic (mid coul, coulmore, mains of tullibardine farms) tasting notes review","https://www.whiskynotes.be/search/bruichladdich-the-organic-(mid-coul,-coulmore,-mains-of-tullibardine-farms)-tasting-notes-review",www.whiskynotes.be,search_page,rejected_search_page,
W000944,port ellen douglas laing mcgibbon's provenance john milroy 23yo 1982-2005,,23.0,port ellen douglas laing mcgibbon's provenance john milroy 23yo 1982-2005 tasting notes review,https://www.whiskynotes.be/search/port-ellen-douglas-laing-mcgibbon's-provenance-john-milroy-23yo-1982-2005-tasting-notes-review,www.whiskynotes.be,search_page,rejected_search_page,
W001029,port ellen douglas laing mcgibbon's provenance john milroy 23yo 1978-2001,,23.0,port ellen douglas laing mcgibbon's provenance john milroy 23yo 1978-2001 tasting notes review,https://www.whiskynotes.be/search/port-ellen-douglas-laing-mcgibbon's-provenance-john-milroy-23yo-1978-2001-tasting-notes-review,www.whiskynotes.be,search_page,rejected_search_page,
W000713,mackinlay's shackleton rare old highland malt (both limited editions),,,mackinlay's shackleton rare old highland malt (both limited editions) tasting notes review,https://www.whiskynotes.be/search/mackinlay's-shackleton-rare-old-highland-malt-(both-limited-editions)-tasting-notes-review,www.whiskynotes.be,search_page,rejected_search_page,
W001720,"buffalo trace experimental collection 12yo floor #1 (wheat, 2015)",,12.0,"buffalo trace experimental collection 12yo floor #1 (wheat, 2015) tasting notes review","https://www.whiskynotes.be/search/buffalo-trace-experimental-collection-12yo-floor-#1-(wheat,-2015)-tasting-notes-review",www.whiskynotes.be,search_page,rejected_search_page,
W000968,bruichladdich port charlotte 10yo heavily peated (second edition),,10.0,bruichladdich port charlotte 10yo heavily peated (second edition) tasting notes review,https://www.whiskynotes.be/search/bruichladdich-port-charlotte-10yo-heavily-peated-(second-edition)-tasting-notes-review,www.whiskynotes.be,search_page,rejected_search_page,
W000983,bruichladdich port charlotte 10yo heavily peated (first edition),,10.0,bruichladdich port charlotte 10yo heavily peated (first edition) tasting notes review,https://www.whiskynotes.be/search/bruichladdich-port-charlotte-10yo-heavily-peated-(first-edition)-tasting-notes-review,www.whiskynotes.be,search_page,rejected_search_page,
W001617,"buffalo trace experimental collection 12yo floor #5 (rye, 2014)",,12.0,"buffalo trace experimental collection 12yo floor #5 (rye, 2014) tasting notes review","https://www.whiskynotes.be/search/buffalo-trace-experimental-collection-12yo-floor-#5-(rye,-2014)-tasting-notes-review",www.whiskynotes.be,search_page,rejected_search_page,
W001737,"buffalo trace experimental collection 12yo floor #1 (rye, 2014)",,12.0,"buffalo trace experimental collection 12yo floor #1 (rye, 2014) tasting notes review","https://www.whiskynotes.be/search/buffalo-trace-experimental-collection-12yo-floor-#1-(rye,-2014)-tasting-notes-review",www.whiskynotes.be,search_page,rejected_search_page,
W000696,mackinlay's shackleton rare old highland malt discovery edition,,,mackinlay's shackleton rare old highland malt discovery edition tasting notes review,https://www.whiskynotes.be/search/mackinlay's-shackleton-rare-old-highland-malt-discovery-edition-tasting-notes-review,www.whiskynotes.be,search_page,rejected_search_page,
W001792,parker’s heritage 12th 2018 finished in orange curaçao barrels,,,parker’s heritage 12th 2018 finished in orange curaçao barrels tasting notes review,https://www.whiskynotes.be/search/parker’s-heritage-12th-2018-finished-in-orange-curaçao-barrels-tasting-notes-review,www.whiskynotes.be,search_page,rejected_search_page,
W000028,"laphroaig 27yo 57.4% 1980-2007 (ob, 5 oloroso casks, 972 bts)",Laphroaig,27.0,"laphroaig 27yo 57.4% 1980-2007 (ob, 5 oloroso casks, 972 bts) tasting notes review","https://www.whiskynotes.be/search/laphroaig-27yo-57.4%-1980-2007-(ob,-5-oloroso-casks,-972-bts)-tasting-notes-review",www.whiskynotes.be,search_page,rejected_search_page,
W000930,compass box flaming heart 2015 5th edition - 15th anniversary,,,compass box flaming heart 2015 5th edition - 15th anniversary tasting notes review,https://www.whiskynotes.be/search/compass-box-flaming-heart-2015-5th-edition---15th-anniversary-tasting-notes-review,www.whiskynotes.be,search_page,rejected_search_page,
W000948,compass box flaming heart 2010 3rd edition - 10th anniversary,,,compass box flaming heart 2010 3rd edition - 10th anniversary tasting notes review,https://www.whiskynotes.be/search/compass-box-flaming-heart-2010-3rd-edition---10th-anniversary-tasting-notes-review,www.whiskynotes.be,search_page,rejected_search_page,
W000750,mackinlay's shackleton rare old highland malt journey edition,,,mackinlay's shackleton rare old highland malt journey edition tasting notes review,https://www.whiskynotes.be/search/mackinlay's-shackleton-rare-old-highland-malt-journey-edition-tasting-notes-review,www.whiskynotes.be,search_page,rejected_search_page,
W000294,"glenfarclas 1968-2000 54.2% (ob, old stock reserve, ceramic)",,,"glenfarclas 1968-2000 54.2% (ob, old stock reserve, ceramic) tasting notes review","https://www.whiskynotes.be/search/glenfarclas-1968-2000-54.2%-(ob,-old-stock-reserve,-ceramic)-tasting-notes-review",www.whiskynotes.be,search_page,rejected_search_page,
W000853,shelter point classic single cask (kwm) single malt whisky,,,shelter point classic single cask (kwm) single malt whisky tasting notes review,https://www.whiskynotes.be/search/shelter-point-classic-single-cask-(kwm)-single-malt-whisky-tasting-notes-review,www.whiskynotes.be,search_page,rejected_search_page,
W000026,"macallan 10yo full proof 57% 1980 (ob, giovinetti & figli)",,10.0,"macallan 10yo full proof 57% 1980 (ob, giovinetti & figli) tasting notes review","https://www.whiskynotes.be/search/macallan-10yo-full-proof-57%-1980-(ob,-giovinetti-&-figli)-tasting-notes-review",www.whiskynotes.be,search_page,rejected_search_page,
W001453,pike creek 21yo double barrel speyside cask finish (2017),,21.0,pike creek 21yo double barrel speyside cask finish (2017) tasting notes review,https://www.whiskynotes.be/search/pike-creek-21yo-double-barrel-speyside-cask-finish-(2017)-tasting-notes-review,www.whiskynotes.be,search_page,rejected_search_page,
W001447,gooderham & worts 17yo little trinity three grain (2017),Gooderham & Worts,17.0,gooderham & worts 17yo little trinity three grain (2017) tasting notes review,https://www.whiskynotes.be/search/gooderham-&-worts-17yo-little-trinity-three-grain-(2017)-tasting-notes-review,www.whiskynotes.be,search_page,rejected_search_page,
