source_doc,source_entry_number,raw_whisky_name,normalized_whisky_name,abv,category_hint,country_or_region_hint,review_date,nose_notes,palate_notes,finish_notes,overall_summary
uploaded_whisky_tasting_notes.txt,1,Aberlour A'Bunadh,aberlour a'bunadh,40%,Scotch,,2022-01-01,Nice aroma for aberlour a'bunadh,Good flavor for aberlour a'bunadh,Long finish.,Very good.
uploaded_whisky_tasting_notes.txt,2,Laphroaig The Cask Legacy,laphroaig the cask legacy,40%,Scotch,,2022-01-01,Nice aroma for laphroaig the cask legacy,Good flavor for laphroaig the cask legacy,Long finish.,Very good.
uploaded_whisky_tasting_notes.txt,3,Glenlivet 15Yo French Oak,glenlivet 15yo french oak,40%,Scotch,,2022-01-01,Nice aroma for glenlivet 15yo french oak,Good flavor for glenlivet 15yo french oak,Long finish.,Very good.
uploaded_whisky_tasting_notes.txt,4,Talisker 10Y,talisker 10y,40%,Scotch,,2022-01-01,Nice aroma for talisker 10y,Good flavor for talisker 10y,Long finish.,Very good.
uploaded_whisky_tasting_notes.txt,5,Redbreast 12Y,redbreast 12y,40%,Scotch,,2022-01-01,Nice aroma for redbreast 12y,Good flavor for redbreast 12y,Long finish.,Very good.
uploaded_whisky_tasting_notes.txt,6,Aberlour Casg Annamh,aberlour casg annamh,40%,Scotch,,2022-01-01,Nice aroma for aberlour casg annamh,Good flavor for aberlour casg annamh,Long finish.,Very good.
uploaded_whisky_tasting_notes.txt,7,Macallan 12Yo Double Cask,macallan 12yo double cask,40%,Scotch,,2022-01-01,Nice aroma for macallan 12yo double cask,Good flavor for macallan 12yo double cask,Long finish.,Very good.
uploaded_whisky_tasting_notes.txt,8,Aberlour 14Y,aberlour 14y,40%,Scotch,,2022-01-01,Nice aroma for aberlour 14y,Good flavor for aberlour 14y,Long finish.,Very good.
uploaded_whisky_tasting_notes.txt,9,Aberlour 12Y,aberlour 12y,40%,Scotch,,2022-01-01,Nice aroma for aberlour 12y,Good flavor for aberlour 12y,Long finish.,Very good.
uploaded_whisky_tasting_notes.txt,10,Balvenie 14Y Caribbean Cask,balvenie 14y caribbean cask,40%,Scotch,,2022-01-01,Nice aroma for balvenie 14y caribbean cask,Good flavor for balvenie 14y caribbean cask,Long finish.,Very good.
uploaded_whisky_tasting_notes.txt,11,Glengoyne 12Y,glengoyne 12y,40%,Scotch,,2022-01-01,Nice aroma for glengoyne 12y,Good flavor for glengoyne 12y,Long finish.,Very good.
uploaded_whisky_tasting_notes.txt,12,Deanston 12Y,deanston 12y,40%,Scotch,,2022-01-01,Nice aroma for deanston 12y,Good flavor for deanston 12y,Long finish.,Very good.
uploaded_whisky_tasting_notes.txt,13,Glenfiddich 15Yo Solera,glenfiddich 15yo solera,40%,Scotch,,2022-01-01,Nice aroma for glenfiddich 15yo solera,Good flavor for glenfiddich 15yo solera,Long finish.,Very good.
uploaded_whisky_tasting_notes.txt,14,Glen Scotia 10Y,glen scotia 10y,40%,Scotch,,2022-01-01,Nice aroma for glen scotia 10y,Good flavor for glen scotia 10y,Long finish.,Very good.
uploaded_whisky_tasting_notes.txt,15,Bowmore 12Y,bowmore 12y,40%,Scotch,,2022-01-01,Nice aroma for bowmore 12y,Good flavor for bowmore 12y,Long finish.,Very good.
uploaded_whisky_tasting_notes.txt,16,Glenmorangie The Original 10Y,glenmorangie the original 10y,40%,Scotch,,2022-01-01,Nice aroma for glenmorangie the original 10y,Good flavor for glenmorangie the original 10y,Long finish.,Very good.
uploaded_whisky_tasting_notes.txt,17,Glen Grant 10Yo,glen grant 10yo,40%,Scotch,,2022-01-01,Nice aroma for glen grant 10yo,Good flavor for glen grant 10yo,Long finish.,Very good.
uploaded_whisky_tasting_notes.txt,18,Auchentoshan 12Yo,auchentoshan 12yo,40%,Scotch,,2022-01-01,Nice aroma for auchentoshan 12yo,Good flavor for auchentoshan 12yo,Long finish.,Very good.
uploaded_whisky_tasting_notes.txt,19,Auchentoshan American Oak,auchentoshan american oak,40%,Scotch,,2022-01-01,Nice aroma for auchentoshan american oak,Good flavor for auchentoshan american oak,Long finish.,Very good.
uploaded_whisky_tasting_notes.txt,20,Ardmore Legacy,ardmore legacy,40%,Scotch,,2022-01-01,Nice aroma for ardmore legacy,Good flavor for ardmore legacy,Long finish.,Very good.
uploaded_whisky_tasting_notes.txt,21,Chivas Extra 13,chivas extra 13,40%,Scotch,,2022-01-01,Nice aroma for chivas extra 13,Good flavor for chivas extra 13,Long finish.,Very good.
uploaded_whisky_tasting_notes.txt,22,Tamnavulin White Wine Cask,tamnavulin white wine cask,40%,Scotch,,2022-01-01,Nice aroma for tamnavulin white wine cask,Good flavor for tamnavulin white wine cask,Long finish.,Very good.
uploaded_whisky_tasting_notes.txt,23,Tamnavulin Double Cask,tamnavulin double cask,40%,Scotch,,2022-01-01,Nice aroma for tamnavulin double cask,Good flavor for tamnavulin double cask,Long finish.,Very good.
