tasting_note_id,whisky_id,product_name,source_system,total_text_length,keyword_hit_count,axis_count,placeholder_pattern,low_signal,production_quality_decision,reason,short_snippet,block_reason
26,W000001,aberlour a'bunadh,uploaded_document,79,0,0,True,True,quarantine_recommended,Placeholder / Mock pattern detected,Nice aroma for aberlour a'bunadh Good flavor for aberlour a'bunadh Long finish.,
27,W000002,laphroaig the cask legacy,uploaded_document,95,2,1,True,True,quarantine_recommended,Placeholder / Mock pattern detected,Nice aroma for laphroaig the cask legacy Good flavor for laphroaig the cask lega...,
28,W000003,glenlivet 15yo french oak,uploaded_document,95,2,1,True,True,quarantine_recommended,Placeholder / Mock pattern detected,Nice aroma for glenlivet 15yo french oak Good flavor for glenlivet 15yo french o...,
29,W000004,talisker 10y,uploaded_document,69,0,0,True,True,quarantine_recommended,Placeholder / Mock pattern detected,Nice aroma for talisker 10y Good flavor for talisker 10y Long finish.,
30,W000005,redbreast 12y,uploaded_document,71,0,0,True,True,quarantine_recommended,Placeholder / Mock pattern detected,Nice aroma for redbreast 12y Good flavor for redbreast 12y Long finish.,
31,W000006,aberlour casg annamh,uploaded_document,85,0,0,True,True,quarantine_recommended,Placeholder / Mock pattern detected,Nice aroma for aberlour casg annamh Good flavor for aberlour casg annamh Long fi...,
32,W000007,macallan 12yo double cask,uploaded_document,95,2,1,True,True,quarantine_recommended,Placeholder / Mock pattern detected,Nice aroma for macallan 12yo double cask Good flavor for macallan 12yo double ca...,
33,W000008,aberlour 14y,uploaded_document,69,0,0,True,True,quarantine_recommended,Placeholder / Mock pattern detected,Nice aroma for aberlour 14y Good flavor for aberlour 14y Long finish.,
34,W000009,aberlour 12y,uploaded_document,69,0,0,True,True,quarantine_recommended,Placeholder / Mock pattern detected,Nice aroma for aberlour 12y Good flavor for aberlour 12y Long finish.,
35,W000010,balvenie 14y caribbean cask,uploaded_document,99,2,1,True,True,quarantine_recommended,Placeholder / Mock pattern detected,Nice aroma for balvenie 14y caribbean cask Good flavor for balvenie 14y caribbea...,
36,W000011,glengoyne 12y,uploaded_document,71,0,0,True,True,quarantine_recommended,Placeholder / Mock pattern detected,Nice aroma for glengoyne 12y Good flavor for glengoyne 12y Long finish.,
37,W000012,deanston 12y,uploaded_document,69,0,0,True,True,quarantine_recommended,Placeholder / Mock pattern detected,Nice aroma for deanston 12y Good flavor for deanston 12y Long finish.,
38,W000013,glenfiddich 15yo solera,uploaded_document,91,0,0,True,True,quarantine_recommended,Placeholder / Mock pattern detected,Nice aroma for glenfiddich 15yo solera Good flavor for glenfiddich 15yo solera L...,
39,W000014,glen scotia 10y,uploaded_document,75,0,0,True,True,quarantine_recommended,Placeholder / Mock pattern detected,Nice aroma for glen scotia 10y Good flavor for glen scotia 10y Long finish.,
